# L1_m9 Jet_fgas-4sigma lightcone-0 tSZ; HEALPix Nside=4096 pixel window deconvolved; masked q>10 (qfrommap); r=max(4*theta500, 2x10arcmin), C2 apodization 0.25 deg, masked monopole subtracted, NaMaster MASTER per-ell (nlb=1, lmax=10000); uniform mean of D_ell over inclusive Planck bins
# ell_eff  1e12_D_ell_yy
1.000000e+01 1.701781e-03
1.350000e+01 2.075581e-03
1.800000e+01 3.553445e-03
2.350000e+01 5.966301e-03
3.050000e+01 7.596667e-03
4.000000e+01 1.029308e-02
5.250000e+01 1.638045e-02
6.850000e+01 2.393845e-02
8.950000e+01 3.337074e-02
1.170000e+02 4.713328e-02
1.525000e+02 6.901428e-02
1.980000e+02 9.660106e-02
2.575000e+02 1.351627e-01
3.355000e+02 1.934208e-01
4.365000e+02 2.651351e-01
5.675000e+02 3.636904e-01
7.380000e+02 4.810661e-01
9.595000e+02 6.228263e-01
