# L1_m9 Jet_fgas-4sigma lightcone-0 tSZ; HEALPix Nside=4096 pixel window deconvolved; masked q>10 (qfrommz_alpha_fixed_1p12); r=max(4*theta500, 2x10arcmin), C2 apodization 0.25 deg, masked monopole subtracted, NaMaster MASTER per-ell (nlb=1, lmax=10000); uniform mean of D_ell over inclusive Planck bins
# ell_eff  1e12_D_ell_yy
1.000000e+01 2.038121e-03
1.350000e+01 2.404645e-03
1.800000e+01 3.918735e-03
2.350000e+01 6.870825e-03
3.050000e+01 8.351846e-03
4.000000e+01 1.204953e-02
5.250000e+01 1.922853e-02
6.850000e+01 2.646098e-02
8.950000e+01 3.822685e-02
1.170000e+02 5.377677e-02
1.525000e+02 7.691603e-02
1.980000e+02 1.072630e-01
2.575000e+02 1.481508e-01
3.355000e+02 2.103110e-01
4.365000e+02 2.832893e-01
5.675000e+02 3.836174e-01
7.380000e+02 4.997127e-01
9.595000e+02 6.379103e-01
