# L1_m9 Jet_fgas-4sigma lightcone-0 tSZ; HEALPix Nside=4096 pixel window deconvolved; masked q>5 (qfrommap); r=max(4*theta500, 2x10arcmin), C2 apodization 0.25 deg, masked monopole subtracted, NaMaster MASTER per-ell (nlb=1, lmax=10000); uniform mean of C_ell in log bins, Delta ln ell = 0.4, ell_max = 10000
# ell_eff  1e12_D_ell_yy
1.005184e+02 2.613381e-02
1.499558e+02 4.538168e-02
2.237077e+02 7.540611e-02
3.337327e+02 1.294015e-01
4.978707e+02 2.171502e-01
7.427358e+02 3.494955e-01
1.108032e+03 5.397325e-01
1.652989e+03 7.576102e-01
2.465970e+03 9.445454e-01
3.678794e+03 1.026818e+00
5.488116e+03 9.417535e-01
8.187308e+03 7.258122e-01
