# L1_m9 Jet lightcone-0 tSZ; HEALPix Nside=4096 pixel window deconvolved; masked q>1 (qfrommap); r=max(4*theta500, 2x10arcmin), C2 apodization 0.25 deg, masked monopole subtracted, NaMaster MASTER per-ell (nlb=1, lmax=10000); uniform mean of C_ell in log bins, Delta ln ell = 0.4, ell_max = 10000
# ell_eff  1e12_D_ell_yy
1.005184e+02 9.460330e-03
1.499558e+02 1.622002e-02
2.237077e+02 2.586724e-02
3.337327e+02 4.412925e-02
4.978707e+02 7.672668e-02
7.427358e+02 1.317577e-01
1.108032e+03 2.293867e-01
1.652989e+03 3.765154e-01
2.465970e+03 5.699889e-01
3.678794e+03 7.609367e-01
5.488116e+03 8.629570e-01
8.187308e+03 8.331776e-01
