# L1_m9 Jet lightcone-0 tSZ; HEALPix Nside=4096 pixel window deconvolved; masked q>20 (qfrommz_alpha_fixed_1p12); r=max(4*theta500, 2x10arcmin), C2 apodization 0.25 deg, masked monopole subtracted, NaMaster MASTER per-ell (nlb=1, lmax=10000); uniform mean of D_ell over inclusive Planck bins
# ell_eff  1e12_D_ell_yy
1.000000e+01 2.974803e-03
1.350000e+01 3.519589e-03
1.800000e+01 6.507309e-03
2.350000e+01 9.058778e-03
3.050000e+01 1.150703e-02
4.000000e+01 1.690282e-02
5.250000e+01 2.853058e-02
6.850000e+01 3.909511e-02
8.950000e+01 5.802662e-02
1.170000e+02 8.356443e-02
1.525000e+02 1.178584e-01
1.980000e+02 1.622588e-01
2.575000e+02 2.192359e-01
3.355000e+02 3.006012e-01
4.365000e+02 3.982793e-01
5.675000e+02 5.235529e-01
7.380000e+02 6.632971e-01
9.595000e+02 8.279067e-01
