# L1_m9 Mstar-1sigma_fgas-4sigma lightcone-0 tSZ; HEALPix Nside=4096 pixel window deconvolved; masked q>10 (qfrommz_alpha_fixed_1p12); r=max(4*theta500, 2x10arcmin), C2 apodization 0.25 deg, masked monopole subtracted, NaMaster MASTER per-ell (nlb=1, lmax=10000); uniform mean of D_ell over inclusive Planck bins
# ell_eff  1e12_D_ell_yy
1.000000e+01 2.163850e-03
1.350000e+01 2.729628e-03
1.800000e+01 4.616942e-03
2.350000e+01 7.776272e-03
3.050000e+01 9.889051e-03
4.000000e+01 1.417357e-02
5.250000e+01 2.332879e-02
6.850000e+01 3.256528e-02
8.950000e+01 4.748141e-02
1.170000e+02 6.635388e-02
1.525000e+02 9.321490e-02
1.980000e+02 1.283909e-01
2.575000e+02 1.726256e-01
3.355000e+02 2.401368e-01
4.365000e+02 3.219237e-01
5.675000e+02 4.327366e-01
7.380000e+02 5.627315e-01
9.595000e+02 7.199311e-01
