# L1_m9 Mstar-1sigma_fgas-4sigma lightcone-0 tSZ; HEALPix Nside=4096 pixel window deconvolved; masked q>20 (qfrommap); r=max(4*theta500, 2x10arcmin), C2 apodization 0.25 deg, masked monopole subtracted, NaMaster MASTER per-ell (nlb=1, lmax=10000); uniform mean of C_ell in log bins, Delta ln ell = 0.4, ell_max = 10000
# ell_eff  1e12_D_ell_yy
1.005184e+02 5.806194e-02
1.499558e+02 1.004782e-01
2.237077e+02 1.653275e-01
3.337327e+02 2.695186e-01
4.978707e+02 4.265486e-01
7.427358e+02 6.337924e-01
1.108032e+03 8.904646e-01
1.652989e+03 1.140168e+00
2.465970e+03 1.306175e+00
3.678794e+03 1.319611e+00
5.488116e+03 1.137902e+00
8.187308e+03 8.269446e-01
