# L1_m9 Mstar-1sigma_fgas-4sigma lightcone-0 tSZ; HEALPix Nside=4096 pixel window deconvolved; masked q>3 (qfrommz_alpha_fixed_1p12); r=max(4*theta500, 2x10arcmin), C2 apodization 0.25 deg, masked monopole subtracted, NaMaster MASTER per-ell (nlb=1, lmax=10000); uniform mean of C_ell in log bins, Delta ln ell = 0.4, ell_max = 10000
# ell_eff  1e12_D_ell_yy
1.005184e+02 3.208923e-02
1.499558e+02 5.480523e-02
2.237077e+02 9.088805e-02
3.337327e+02 1.556688e-01
4.978707e+02 2.554724e-01
7.427358e+02 4.030461e-01
1.108032e+03 6.085303e-01
1.652989e+03 8.430818e-01
2.465970e+03 1.046111e+00
3.678794e+03 1.138128e+00
5.488116e+03 1.041664e+00
8.187308e+03 7.916102e-01
