# L1_m9 fgas+2sigma lightcone-0 tSZ; HEALPix Nside=4096 pixel window deconvolved; masked q>20 (qfrommz_alpha_fixed_1p12); r=max(4*theta500, 2x10arcmin), C2 apodization 0.25 deg, masked monopole subtracted, NaMaster MASTER per-ell (nlb=1, lmax=10000); uniform mean of D_ell over inclusive Planck bins
# ell_eff  1e12_D_ell_yy
1.000000e+01 2.930300e-03
1.350000e+01 3.415052e-03
1.800000e+01 5.968487e-03
2.350000e+01 9.098670e-03
3.050000e+01 1.127539e-02
4.000000e+01 1.698616e-02
5.250000e+01 2.815656e-02
6.850000e+01 3.876288e-02
8.950000e+01 5.790749e-02
1.170000e+02 8.421074e-02
1.525000e+02 1.194705e-01
1.980000e+02 1.693864e-01
2.575000e+02 2.319822e-01
3.355000e+02 3.213533e-01
4.365000e+02 4.287554e-01
5.675000e+02 5.669982e-01
7.380000e+02 7.208743e-01
9.595000e+02 9.039238e-01
