# L1_m9 fgas+2sigma lightcone-0 tSZ; HEALPix Nside=4096 pixel window deconvolved; masked q>5 (qfrommap); r=max(4*theta500, 2x10arcmin), C2 apodization 0.25 deg, masked monopole subtracted, NaMaster MASTER per-ell (nlb=1, lmax=10000); uniform mean of D_ell over inclusive Planck bins
# ell_eff  1e12_D_ell_yy
1.000000e+01 9.823645e-04
1.350000e+01 1.332567e-03
1.800000e+01 2.116983e-03
2.350000e+01 3.825960e-03
3.050000e+01 4.731246e-03
4.000000e+01 6.955929e-03
5.250000e+01 1.057883e-02
6.850000e+01 1.494492e-02
8.950000e+01 2.070853e-02
1.170000e+02 3.038224e-02
1.525000e+02 4.422915e-02
1.980000e+02 6.347469e-02
2.575000e+02 8.985326e-02
3.355000e+02 1.345150e-01
4.365000e+02 1.917710e-01
5.675000e+02 2.761266e-01
7.380000e+02 3.854518e-01
9.595000e+02 5.362394e-01
