# L1_m9 fgas-4sigma lightcone-0 tSZ; HEALPix Nside=4096 pixel window deconvolved; masked q>5 (qfrommap); r=max(4*theta500, 2x10arcmin), C2 apodization 0.25 deg, masked monopole subtracted, NaMaster MASTER per-ell (nlb=1, lmax=10000); uniform mean of D_ell over inclusive Planck bins
# ell_eff  1e12_D_ell_yy
1.000000e+01 1.066546e-03
1.350000e+01 1.440200e-03
1.800000e+01 2.244642e-03
2.350000e+01 4.005990e-03
3.050000e+01 4.937690e-03
4.000000e+01 7.361455e-03
5.250000e+01 1.117443e-02
6.850000e+01 1.568268e-02
8.950000e+01 2.201595e-02
1.170000e+02 3.182947e-02
1.525000e+02 4.625693e-02
1.980000e+02 6.504961e-02
2.575000e+02 9.155215e-02
3.355000e+02 1.346014e-01
4.365000e+02 1.896807e-01
5.675000e+02 2.680652e-01
7.380000e+02 3.675378e-01
9.595000e+02 5.011982e-01
