# L1_m9 fgas-8sigma lightcone-0 tSZ; HEALPix Nside=4096 pixel window deconvolved; masked q>10 (qfrommz_alpha_fixed_1p12); r=max(4*theta500, 2x10arcmin), C2 apodization 0.25 deg, masked monopole subtracted, NaMaster MASTER per-ell (nlb=1, lmax=10000); uniform mean of D_ell over inclusive Planck bins
# ell_eff  1e12_D_ell_yy
1.000000e+01 2.020668e-03
1.350000e+01 2.456506e-03
1.800000e+01 4.209030e-03
2.350000e+01 6.904989e-03
3.050000e+01 8.912860e-03
4.000000e+01 1.218044e-02
5.250000e+01 1.991480e-02
6.850000e+01 2.748398e-02
8.950000e+01 3.958180e-02
1.170000e+02 5.468806e-02
1.525000e+02 7.871728e-02
1.980000e+02 1.101538e-01
2.575000e+02 1.513807e-01
3.355000e+02 2.136911e-01
4.365000e+02 2.877226e-01
5.675000e+02 3.845771e-01
7.380000e+02 4.982121e-01
9.595000e+02 6.334181e-01
