# L1_m9 fgas-8sigma lightcone-0 tSZ; HEALPix Nside=4096 pixel window deconvolved; masked q>50 (qfrommz_alpha_fixed_1p12); r=max(4*theta500, 2x10arcmin), C2 apodization 0.25 deg, masked monopole subtracted, NaMaster MASTER per-ell (nlb=1, lmax=10000); uniform mean of C_ell in log bins, Delta ln ell = 0.4, ell_max = 10000
# ell_eff  1e12_D_ell_yy
1.005184e+02 9.290409e-02
1.499558e+02 1.497353e-01
2.237077e+02 2.291052e-01
3.337327e+02 3.395281e-01
4.978707e+02 4.848760e-01
7.427358e+02 6.562640e-01
1.108032e+03 8.499129e-01
1.652989e+03 1.019917e+00
2.465970e+03 1.108366e+00
3.678794e+03 1.066783e+00
5.488116e+03 8.760217e-01
8.187308e+03 6.052343e-01
