# L1_m9 fiducial full-sky tSZ; independent high-ell logarithmic bins
# Delta ln ell = 0.4; ell_max = 10000; HEALPix Nside=4096 pixel window deconvolved
# ell_eff  1e12_D_ell_yy
1.005183574463357417e+02 1.702264634820457589e-01
1.499557682047769447e+02 2.457763556429680418e-01
2.237077185616558097e+02 3.352648679066353443e-01
3.337326996032605848e+02 4.363914214961698290e-01
4.978706836786390681e+02 5.751074292688586054e-01
7.427357821433382696e+02 7.672480707822150192e-01
1.108031583623338292e+03 1.018836120897474329e+00
1.652988882215864351e+03 1.283355671463342951e+00
2.465969639416062819e+03 1.496625297833066082e+00
3.678794411714420221e+03 1.588055877797623028e+00
5.488116360940261075e+03 1.483780108911928464e+00
8.187307530779816261e+03 1.209306593278183684e+00
