# L1_m9 fullsky; uniform mean over inclusive Planck bins
# ell_eff  1e12_D_ell_yy
1.000000000000000000e+01 7.509533005133969298e-03
1.350000000000000000e+01 1.271768679109479619e-02
1.800000000000000000e+01 2.030414231378223355e-02
2.350000000000000000e+01 2.610685570232811059e-02
3.050000000000000000e+01 3.632666316827198177e-02
4.000000000000000000e+01 5.974950976858309226e-02
5.250000000000000000e+01 9.254903935909901402e-02
6.850000000000000000e+01 1.086032579006663695e-01
8.950000000000000000e+01 1.551722581330987338e-01
1.170000000000000000e+02 1.975344341979571872e-01
1.525000000000000000e+02 2.514348313455366246e-01
1.980000000000000000e+02 3.131348563782840877e-01
2.575000000000000000e+02 3.676017165396339714e-01
3.355000000000000000e+02 4.432983346467337382e-01
4.365000000000000000e+02 5.251950672206380233e-01
5.675000000000000000e+02 6.350238507664828225e-01
7.380000000000000000e+02 7.680224767306484956e-01
9.595000000000000000e+02 9.303201983155863219e-01
