# L1_m9 fiducial masked tSZ, q>20 (qfrommz_alpha_fixed_1p12); same masking as the binned_18 file; Delta ln ell = 0.4; ell_max = 10000; HEALPix Nside=4096 pixel window deconvolved
# ell_eff  1e12_D_ell_yy
1.005184e+02 6.788827e-02
1.499558e+02 1.155437e-01
2.237077e+02 1.901553e-01
3.337327e+02 3.053641e-01
4.978707e+02 4.783167e-01
7.427358e+02 7.042077e-01
1.108032e+03 9.803818e-01
1.652989e+03 1.262736e+00
2.465970e+03 1.486843e+00
3.678794e+03 1.583851e+00
5.488116e+03 1.482350e+00
8.187308e+03 1.208674e+00
