# L1_m9 fiducial masked tSZ, q>3 (qfrommap); synthetic-data masking: r=max(4*theta500, 2x10arcmin), C2 apodization 0.25 deg, masked monopole subtracted, NaMaster MASTER per-ell, pixwin deconvolved; uniform mean of C_ell in log bins, Delta ln ell = 0.4, ell_max = 10000
# ell_eff  1e12_D_ell_yy
1.005184e+02 1.853005e-02
1.499558e+02 3.245053e-02
2.237077e+02 5.470690e-02
3.337327e+02 9.651223e-02
4.978707e+02 1.694035e-01
7.427358e+02 2.888052e-01
1.108032e+03 4.811310e-01
1.652989e+03 7.391634e-01
2.465970e+03 1.023322e+00
3.678794e+03 1.245301e+00
5.488116e+03 1.287976e+00
8.187308e+03 1.127515e+00
