# L1_m9 fiducial masked tSZ, q>3 (qfrommz_alpha_fixed_1p12); synthetic-data masking: r=max(4*theta500, 2x10arcmin), C2 apodization 0.25 deg, masked monopole subtracted, NaMaster MASTER per-ell, pixwin deconvolved; uniform mean of D_ell over inclusive Planck bins
# ell_eff  1e12_D_ell_yy
1.000000e+01 1.164596e-03
1.350000e+01 1.451136e-03
1.800000e+01 2.562209e-03
2.350000e+01 4.009497e-03
3.050000e+01 5.183543e-03
4.000000e+01 7.578635e-03
5.250000e+01 1.195722e-02
6.850000e+01 1.527854e-02
8.950000e+01 2.360376e-02
1.170000e+02 3.386525e-02
1.525000e+02 4.985301e-02
1.980000e+02 7.177826e-02
2.575000e+02 1.014974e-01
3.355000e+02 1.496736e-01
4.365000e+02 2.084911e-01
5.675000e+02 2.949673e-01
7.380000e+02 4.015397e-01
9.595000e+02 5.413159e-01
