# L1_m9 fiducial masked tSZ, q>3 (qfrommz_alpha_fixed_1p12); synthetic-data masking: r=max(4*theta500, 2x10arcmin), C2 apodization 0.25 deg, masked monopole subtracted, NaMaster MASTER per-ell, pixwin deconvolved; uniform mean of C_ell in log bins, Delta ln ell = 0.4, ell_max = 10000
# ell_eff  1e12_D_ell_yy
1.005184e+02 2.705481e-02
1.499558e+02 4.793653e-02
2.237077e+02 8.305063e-02
3.337327e+02 1.460514e-01
4.978707e+02 2.464596e-01
7.427358e+02 4.015491e-01
1.108032e+03 6.224850e-01
1.652989e+03 8.897026e-01
2.465970e+03 1.157232e+00
3.678794e+03 1.344630e+00
5.488116e+03 1.345498e+00
8.187308e+03 1.152065e+00
