# L2p8_m9 fullsky; uniform mean over inclusive Planck bins
# ell_eff  1e12_D_ell_yy
1.000000000000000000e+01 7.960771462625656700e-03
1.350000000000000000e+01 1.392242698197953751e-02
1.800000000000000000e+01 1.676863820610526024e-02
2.350000000000000000e+01 2.669180180153542942e-02
3.050000000000000000e+01 3.058902256151107765e-02
4.000000000000000000e+01 4.973145088105124234e-02
5.250000000000000000e+01 6.671867489813138041e-02
6.850000000000000000e+01 8.399866824518932573e-02
8.950000000000000000e+01 1.167500476504879647e-01
1.170000000000000000e+02 1.564808066693262611e-01
1.525000000000000000e+02 2.046004722452630931e-01
1.980000000000000000e+02 2.698637810403209936e-01
2.575000000000000000e+02 3.426349073958781521e-01
3.355000000000000000e+02 4.427275741559213440e-01
4.365000000000000000e+02 5.589394074876702367e-01
5.675000000000000000e+02 6.873010059128231708e-01
7.380000000000000000e+02 8.420148984650840385e-01
9.595000000000000000e+02 1.011792350195939383e+00
