# L2p8_m9_lc1 masked tSZ, q>20 (qfrommap); synthetic-data masking: r=max(4*theta500, 2x10arcmin), C2 apodization 0.25 deg, masked monopole subtracted, NaMaster MASTER per-ell, pixwin deconvolved; uniform mean over inclusive Planck bins
# ell_eff  1e12_D_ell_yy
1.000000e+01 2.300163e-03
1.350000e+01 3.187177e-03
1.800000e+01 5.620161e-03
2.350000e+01 8.728315e-03
3.050000e+01 1.230369e-02
4.000000e+01 1.634140e-02
5.250000e+01 2.448808e-02
6.850000e+01 3.640073e-02
8.950000e+01 5.184848e-02
1.170000e+02 7.580716e-02
1.525000e+02 1.053892e-01
1.980000e+02 1.526000e-01
2.575000e+02 2.122481e-01
3.355000e+02 2.906085e-01
4.365000e+02 3.952601e-01
5.675000e+02 5.269496e-01
7.380000e+02 6.892019e-01
9.595000e+02 8.753499e-01
