# L2p8_m9_lc1 masked tSZ, q>20 (qfrommz_alpha_fixed_1p12); synthetic-data masking: r=max(4*theta500, 2x10arcmin), C2 apodization 0.25 deg, masked monopole subtracted, NaMaster MASTER per-ell, pixwin deconvolved; uniform mean over inclusive Planck bins
# ell_eff  1e12_D_ell_yy
1.000000e+01 2.416314e-03
1.350000e+01 3.156713e-03
1.800000e+01 5.900660e-03
2.350000e+01 9.316136e-03
3.050000e+01 1.227900e-02
4.000000e+01 1.670506e-02
5.250000e+01 2.514834e-02
6.850000e+01 3.665631e-02
8.950000e+01 5.118007e-02
1.170000e+02 7.603171e-02
1.525000e+02 1.040206e-01
1.980000e+02 1.493883e-01
2.575000e+02 2.062231e-01
3.355000e+02 2.807277e-01
4.365000e+02 3.796787e-01
5.675000e+02 5.048366e-01
7.380000e+02 6.603204e-01
9.595000e+02 8.405791e-01
