# L2p8_m9_lc6 full-sky tSZ; NaMaster unit mask, pixwin deconvolved
# ell_eff  1e12_D_ell_yy
1.000000e+01 6.407511e-03
1.350000e+01 9.988739e-03
1.800000e+01 1.380569e-02
2.350000e+01 2.337916e-02
3.050000e+01 3.568987e-02
4.000000e+01 4.819570e-02
5.250000e+01 6.843115e-02
6.850000e+01 1.047019e-01
8.950000e+01 1.417180e-01
1.170000e+02 2.035005e-01
1.525000e+02 2.624801e-01
1.980000e+02 3.252175e-01
2.575000e+02 3.904474e-01
3.355000e+02 4.844151e-01
4.365000e+02 5.858812e-01
5.675000e+02 7.063232e-01
7.380000e+02 8.526328e-01
9.595000e+02 1.012710e+00
