# L2p8_m9_lc7 masked tSZ, q>10 (qfrommz_alpha_fixed_1p12); same masking as the binned_18 file; Delta ln ell = 0.4; ell_max = 10000; HEALPix Nside=4096 pixel window deconvolved
# ell_eff  1e12_D_ell_yy
1.005184e+02 4.170536e-02
1.499558e+02 6.963221e-02
2.237077e+02 1.199539e-01
3.337327e+02 2.033554e-01
4.978707e+02 3.371137e-01
7.427358e+02 5.326805e-01
1.108032e+03 7.999475e-01
1.652989e+03 1.102945e+00
2.465970e+03 1.387617e+00
3.678794e+03 1.543434e+00
5.488116e+03 1.491424e+00
8.187308e+03 1.242510e+00
