# L2p8_m9 fiducial masked tSZ, q>50 (qfrommz_alpha_fixed_1p12); synthetic-data masking: r=max(4*theta500, 2x10arcmin), C2 apodization 0.25 deg, masked monopole subtracted, NaMaster MASTER per-ell, pixwin deconvolved; uniform mean over inclusive Planck bins
# ell_eff  1e12_D_ell_yy
1.000000e+01 7.818953e-03
1.350000e+01 1.375741e-02
1.800000e+01 1.663790e-02
2.350000e+01 2.616311e-02
3.050000e+01 3.021723e-02
4.000000e+01 4.941932e-02
5.250000e+01 6.644551e-02
6.850000e+01 8.341022e-02
8.950000e+01 1.162345e-01
1.170000e+02 1.553802e-01
1.525000e+02 2.008910e-01
1.980000e+02 2.652843e-01
2.575000e+02 3.364105e-01
3.355000e+02 4.336333e-01
4.365000e+02 5.462170e-01
5.675000e+02 6.718995e-01
7.380000e+02 8.238695e-01
9.595000e+02 9.921450e-01
