# L2p8_m9 fiducial masked tSZ, q>6 (qfrommap); synthetic-data masking: r=max(4*theta500, 2x10arcmin), C2 apodization 0.25 deg, masked monopole subtracted, NaMaster MASTER per-ell, pixwin deconvolved; uniform mean over inclusive Planck bins
# ell_eff  1e12_D_ell_yy
1.000000e+01 1.097652e-03
1.350000e+01 1.875894e-03
1.800000e+01 2.970554e-03
2.350000e+01 4.309335e-03
3.050000e+01 6.852774e-03
4.000000e+01 9.010123e-03
5.250000e+01 1.369931e-02
6.850000e+01 1.731598e-02
8.950000e+01 2.591290e-02
1.170000e+02 3.626193e-02
1.525000e+02 5.241155e-02
1.980000e+02 7.454882e-02
2.575000e+02 1.069618e-01
3.355000e+02 1.551246e-01
4.365000e+02 2.198694e-01
5.675000e+02 3.117508e-01
7.380000e+02 4.313191e-01
9.595000e+02 5.871457e-01
