# L2p8_m9 fiducial masked tSZ, q>6 (qfrommap); same masking as the binned_18 file; Delta ln ell = 0.4; ell_max = 10000; HEALPix Nside=4096 pixel window deconvolved
# ell_eff  1e12_D_ell_yy
1.005184e+02 2.936190e-02
1.499558e+02 5.047386e-02
2.237077e+02 8.724144e-02
3.337327e+02 1.525032e-01
4.978707e+02 2.588469e-01
7.427358e+02 4.308711e-01
1.108032e+03 6.788510e-01
1.652989e+03 9.852384e-01
2.465970e+03 1.286441e+00
3.678794e+03 1.475671e+00
5.488116e+03 1.453008e+00
8.187308e+03 1.226678e+00
