# L2p8_m9 fiducial masked tSZ, q>6 (qfrommz_alpha_fixed_1p12); same masking as the binned_18 file; Delta ln ell = 0.4; ell_max = 10000; HEALPix Nside=4096 pixel window deconvolved
# ell_eff  1e12_D_ell_yy
1.005184e+02 4.503507e-02
1.499558e+02 7.570839e-02
2.237077e+02 1.282924e-01
3.337327e+02 2.166821e-01
4.978707e+02 3.531807e-01
7.427358e+02 5.568270e-01
1.108032e+03 8.288073e-01
1.652989e+03 1.142749e+00
2.465970e+03 1.422352e+00
3.678794e+03 1.572861e+00
5.488116e+03 1.508922e+00
8.187308e+03 1.251869e+00
