# ell_eff  sigma_fullsky  sigma_masked_qgt50  sigma_masked_qgt20  sigma_masked_qgt10  sigma_masked_qgt5  sigma_masked_qgt3  sigma_masked_qgt1
1.0000000000000000e+01 3.9054798505422137e-14 3.8831200177271849e-16 1.4643117395395718e-16 8.3719660631462787e-17 5.0213822333394576e-17 3.4882613087452480e-17 1.7300656152237748e-17
1.3500000000000000e+01 5.5371723962070022e-14 5.7630492223831494e-16 1.9185419570693796e-16 1.0672162062757186e-16 6.4330997081767144e-17 4.5194076336159672e-17 2.2948111098155511e-17
1.8000000000000000e+01 7.2621310473981068e-14 8.6303455933121734e-16 2.5815904371787770e-16 1.3788156157664598e-16 8.2833617210730656e-17 5.8617798305878256e-17 3.0393330832596615e-17
2.3500000000000000e+01 8.7518192270895112e-14 1.2534487141214860e-15 3.4758618930566893e-16 1.7711590283751863e-16 1.0519412718944550e-16 7.4644868805616483e-17 3.9358607112127901e-17
3.0500000000000000e+01 9.8302161630270218e-14 1.7605049885403007e-15 4.5466875110874280e-16 2.1663988922247389e-16 1.2542854997111148e-16 8.8725729304268507e-17 4.7359024188182254e-17
4.0000000000000000e+01 1.0350145690852364e-13 2.4414452430311049e-15 6.0482560314965359e-16 2.6793623013302760e-16 1.4907448542814502e-16 1.0440098835200388e-16 5.6106571639807200e-17
5.2500000000000000e+01 1.0224443445824711e-13 3.2862328218193610e-15 8.1616812874428495e-16 3.4495080879990996e-16 1.8438514333888197e-16 1.2727377050914814e-16 6.8466795218147815e-17
6.8500000000000000e+01 9.6031786422725331e-14 4.2366010893877178e-15 1.0761827977599596e-15 4.4123610339970312e-16 2.2678140070925592e-16 1.5377173442140483e-16 8.2382442612255078e-17
8.9500000000000000e+01 8.7060226326361003e-14 5.2937029724472606e-15 1.3924566700991777e-15 5.6066985970856414e-16 2.7755574505250224e-16 1.8442463556511185e-16 9.8067795068292649e-17
1.1700000000000000e+02 7.7357301676118367e-14 6.4709219479875396e-15 1.7868228647973594e-15 7.2004693634658734e-16 3.4754342506269644e-16 2.2681143626348471e-16 1.1970944341570686e-16
1.5250000000000000e+02 6.8285191732505193e-14 7.7746966865499765e-15 2.2694450188750042e-15 9.2394864871352406e-16 4.3807847811467493e-16 2.8132069742873344e-16 1.4744233978407722e-16
1.9800000000000000e+02 6.0300060446431048e-14 9.2267471571525963e-15 2.8666009623557342e-15 1.1888041163587736e-15 5.5794390633932453e-16 3.5354527950183656e-16 1.8427037182657801e-16
2.5750000000000000e+02 5.3175257833007268e-14 1.0846434063753825e-14 3.6090789713582505e-15 1.5302537974458116e-15 7.1174975780791630e-16 4.4476807846336333e-16 2.3062112570101038e-16
3.3550000000000000e+02 4.6901753555915115e-14 1.2618840879453601e-14 4.5422690194516191e-15 1.9913799669694288e-15 9.2891331263010696e-16 5.7564030781766015e-16 2.9838810655262662e-16
4.3650000000000000e+02 4.1431490520488283e-14 1.4428620052067146e-14 5.6564194612736678e-15 2.5839464030997895e-15 1.2196570314236113e-15 7.5296536174531327e-16 3.9194485665236573e-16
5.6750000000000000e+02 3.6556230729427899e-14 1.6130775840710469e-14 6.9288049384434504e-15 3.3227940112117781e-15 1.6023541480577605e-15 9.9105866353667684e-16 5.2076803811401742e-16
7.3800000000000000e+02 3.2149640150543396e-14 1.7535325918607467e-14 8.2942817536244428e-15 4.2049774542548108e-15 2.0920697818358932e-15 1.3048310502587676e-15 6.9634102460117007e-16
9.5950000000000000e+02 2.8121461486110699e-14 1.8426778669332256e-14 9.6281274875359679e-15 5.1918688871702359e-15 2.6906598215637620e-15 1.7045969903656635e-15 9.3021202092452784e-16
