# ell_eff  sigma_fullsky  sigma_masked_qgt50  sigma_masked_qgt20  sigma_masked_qgt10  sigma_masked_qgt5  sigma_masked_qgt3  sigma_masked_qgt1
1.0051835744633574e+02 8.3746773167919473e-14 5.7008242829928249e-15 1.4837717762052731e-15 5.6540821919650758e-16 2.6129773883333220e-16 1.6834259003241806e-16 8.8189076990920611e-17
1.4995576820477694e+02 6.9745945108713663e-14 7.5866728501516492e-15 2.1498338198399687e-15 8.3383782838726297e-16 3.7265345148693617e-16 2.3242756267722969e-16 1.1975940029414528e-16
2.2370771856165581e+02 5.7327466204206549e-14 9.8282272786078384e-15 3.0898731515675326e-15 1.2480089339245001e-15 5.5310164441796270e-16 3.3722647214637964e-16 1.7172277755170288e-16
3.3373269960326058e+02 4.7523739330860865e-14 1.2460371424793970e-14 4.4162355102481466e-15 1.8878429887744858e-15 8.4585204704175578e-16 5.0924299405409781e-16 2.5850388863026506e-16
4.9787068367863907e+02 3.9378193644136385e-14 1.5189986933593502e-14 6.1633436916545859e-15 2.8350024123677874e-15 1.3126137712493941e-15 7.9135069914259044e-16 4.0583303146404920e-16
7.4273578214333827e+02 3.2421781309043760e-14 1.7473738211361439e-14 8.2135533379620565e-15 4.1259446544823819e-15 2.0176580083166818e-15 1.2382580148618437e-15 6.5184272787266485e-16
1.1080315836233383e+03 2.6337553535328624e-14 1.8591824235483704e-14 1.0185140759260397e-14 5.6506844144271006e-15 2.9712226777877880e-15 1.8838165107813120e-15 1.0334105161229674e-15
1.6529888822158644e+03 2.0769585993660210e-14 1.7912027288013830e-14 1.1427514304399980e-14 7.0588672117625022e-15 4.0495379651895699e-15 2.6864705447078508e-15 1.5574531029202581e-15
2.4659696394160628e+03 1.5637532891390302e-14 1.5400062472159118e-14 1.1319255170839524e-14 7.8103772025536092e-15 4.9406263892208190e-15 3.4651125944901213e-15 2.1503166776440259e-15
3.6787944117144202e+03 1.0983296169177870e-14 1.1685116715509651e-14 9.6904536245357227e-15 7.4510927332078000e-15 5.2312862230617496e-15 3.9110227050963930e-15 2.6291363976756799e-15
5.4881163609402611e+03 7.0619751444432998e-15 7.8033910062764178e-15 7.0842097899308232e-15 6.0072804978672467e-15 4.6840716086498449e-15 3.7539707109002327e-15 2.7628818203900133e-15
8.1873075307798163e+03 4.1006073552494393e-15 4.6002918443363519e-15 4.4203701340147897e-15 4.0541945337799608e-15 3.4835157346886510e-15 2.9972633416613291e-15 2.4342139800545224e-15
