# ell_eff  D_ell_1h  D_ell_2h  D_ell_total
1.0000000000000000e+01 9.0441152325879473e-15 8.8576136033792530e-16 9.9298765929258726e-15
1.3500000000000000e+01 1.4912580182476997e-14 1.2002170157082028e-15 1.6112797198185199e-14
1.8000000000000000e+01 2.3480067336459102e-14 1.5907836074513655e-15 2.5070850943910468e-14
2.3500000000000000e+01 3.4893668439819950e-14 2.0430805573955512e-15 3.6936748997215501e-14
3.0500000000000000e+01 5.0135080758939522e-14 2.5739419374519570e-15 5.2709022696391478e-14
4.0000000000000000e+01 7.1159516116356272e-14 3.2150408920556068e-15 7.4374557008411879e-14
5.2500000000000000e+01 9.8626120690937704e-14 3.9358614450404036e-15 1.0256198213597810e-13
6.8500000000000000e+01 1.3303356498601997e-13 4.6931074435714478e-15 1.3772667242959141e-13
8.9500000000000000e+01 1.7700066878660371e-13 5.4751076064254704e-15 1.8247577639302918e-13
1.1700000000000000e+02 2.3304408498644780e-13 6.2355020396251113e-15 2.3927958702607290e-13
1.5250000000000000e+02 3.0350042953314823e-13 6.8978842607132833e-15 3.1039831379386154e-13
1.9800000000000000e+02 3.9118336130823522e-13 7.3953292813480579e-15 3.9857869058958326e-13
2.5750000000000000e+02 5.0142115708886329e-13 7.6949539746181631e-15 5.0911611106348145e-13
3.3550000000000000e+02 6.3839597671816771e-13 7.7784317414236046e-15 6.4617440845959135e-13
4.3650000000000000e+02 8.0299731024874948e-13 7.6342664474627929e-15 8.1063157669621225e-13
5.6750000000000000e+02 9.9556558359065743e-13 7.2631381033429640e-15 1.0028287216940004e-12
7.3800000000000000e+02 1.2135697964986312e-12 6.6960764455008592e-15 1.2202658729441321e-12
9.5950000000000000e+02 1.4485059405532979e-12 5.9746365569879471e-15 1.4544805771102858e-12
