# L1_m9 Jet_fgas-4sigma lightcone-0 tSZ; HEALPix Nside=4096 pixel window deconvolved; full sky (anafast, mean subtracted); uniform mean of D_ell over inclusive Planck bins
# ell_eff  1e12_D_ell_yy
1.000000e+01 7.914977e-03
1.350000e+01 1.347547e-02
1.800000e+01 2.128252e-02
2.350000e+01 2.751522e-02
3.050000e+01 3.784483e-02
4.000000e+01 6.137971e-02
5.250000e+01 9.415581e-02
6.850000e+01 1.077516e-01
8.950000e+01 1.502788e-01
1.170000e+02 1.861349e-01
1.525000e+02 2.317874e-01
1.980000e+02 2.830134e-01
2.575000e+02 3.288951e-01
3.355000e+02 3.969675e-01
4.365000e+02 4.717446e-01
5.675000e+02 5.678790e-01
7.380000e+02 6.786434e-01
9.595000e+02 8.090750e-01
