# L1_m9 Jet_fgas-4sigma lightcone-0 tSZ; HEALPix Nside=4096 pixel window deconvolved; full sky (anafast, mean subtracted); uniform mean of C_ell in log bins, Delta ln ell = 0.4, ell_max = 10000
# ell_eff  1e12_D_ell_yy
1.005184e+02 1.630004e-01
1.499558e+02 2.267963e-01
2.237077e+02 3.016150e-01
3.337327e+02 3.905306e-01
4.978707e+02 5.158977e-01
7.427358e+02 6.779504e-01
1.108032e+03 8.761672e-01
1.652989e+03 1.061517e+00
2.465970e+03 1.175695e+00
3.678794e+03 1.168980e+00
5.488116e+03 1.008766e+00
8.187308e+03 7.486704e-01
