# L1_m9 Jet lightcone-0 tSZ; HEALPix Nside=4096 pixel window deconvolved; full sky (anafast, mean subtracted); uniform mean of D_ell over inclusive Planck bins
# ell_eff  1e12_D_ell_yy
1.000000e+01 7.093726e-03
1.350000e+01 1.202488e-02
1.800000e+01 1.926775e-02
2.350000e+01 2.458163e-02
3.050000e+01 3.426873e-02
4.000000e+01 5.604023e-02
5.250000e+01 8.643939e-02
6.850000e+01 1.009788e-01
8.950000e+01 1.431825e-01
1.170000e+02 1.811608e-01
1.525000e+02 2.293714e-01
1.980000e+02 2.854699e-01
2.575000e+02 3.358427e-01
3.355000e+02 4.049789e-01
4.365000e+02 4.837529e-01
5.675000e+02 5.877824e-01
7.380000e+02 7.116693e-01
9.595000e+02 8.607645e-01
