# L1_m9 Jet lightcone-0 tSZ; HEALPix Nside=4096 pixel window deconvolved; full sky (anafast, mean subtracted); uniform mean of C_ell in log bins, Delta ln ell = 0.4, ell_max = 10000
# ell_eff  1e12_D_ell_yy
1.005184e+02 1.567492e-01
1.499558e+02 2.243130e-01
2.237077e+02 3.059780e-01
3.337327e+02 3.988242e-01
4.978707e+02 5.311921e-01
7.427358e+02 7.109521e-01
1.108032e+03 9.409080e-01
1.652989e+03 1.176190e+00
2.465970e+03 1.358300e+00
3.678794e+03 1.424583e+00
5.488116e+03 1.316401e+00
8.187308e+03 1.067829e+00
