# L1_m9 Jet lightcone-0 tSZ; HEALPix Nside=4096 pixel window deconvolved; masked q>1 (qfrommz_alpha_fixed_1p12); r=max(4*theta500, 2x10arcmin), C2 apodization 0.25 deg, masked monopole subtracted, NaMaster MASTER per-ell (nlb=1, lmax=10000); uniform mean of D_ell over inclusive Planck bins
# ell_eff  1e12_D_ell_yy
1.000000e+01 1.003743e-03
1.350000e+01 1.292936e-03
1.800000e+01 2.207035e-03
2.350000e+01 3.756151e-03
3.050000e+01 5.033049e-03
4.000000e+01 7.214882e-03
5.250000e+01 1.026528e-02
6.850000e+01 1.514239e-02
8.950000e+01 2.179894e-02
1.170000e+02 3.140564e-02
1.525000e+02 4.499126e-02
1.980000e+02 6.300830e-02
2.575000e+02 8.731945e-02
3.355000e+02 1.264659e-01
4.365000e+02 1.751054e-01
5.675000e+02 2.447451e-01
7.380000e+02 3.324057e-01
9.595000e+02 4.483408e-01
