# L1_m9 Mstar-1sigma_fgas-4sigma lightcone-0 tSZ; HEALPix Nside=4096 pixel window deconvolved; full sky (anafast, mean subtracted); uniform mean of D_ell over inclusive Planck bins
# ell_eff  1e12_D_ell_yy
1.000000e+01 8.135009e-03
1.350000e+01 1.386415e-02
1.800000e+01 2.196361e-02
2.350000e+01 2.823208e-02
3.050000e+01 3.922241e-02
4.000000e+01 6.409595e-02
5.250000e+01 9.912635e-02
6.850000e+01 1.149774e-01
8.950000e+01 1.633114e-01
1.170000e+02 2.049628e-01
1.525000e+02 2.558482e-01
1.980000e+02 3.105567e-01
2.575000e+02 3.584104e-01
3.355000e+02 4.291564e-01
4.365000e+02 5.094064e-01
5.675000e+02 6.158327e-01
7.380000e+02 7.420230e-01
9.595000e+02 8.908886e-01
