# L1_m9 Mstar-1sigma_fgas-4sigma lightcone-0 tSZ; HEALPix Nside=4096 pixel window deconvolved; masked q>5 (qfrommz_alpha_fixed_1p12); r=max(4*theta500, 2x10arcmin), C2 apodization 0.25 deg, masked monopole subtracted, NaMaster MASTER per-ell (nlb=1, lmax=10000); uniform mean of D_ell over inclusive Planck bins
# ell_eff  1e12_D_ell_yy
1.000000e+01 2.135420e-03
1.350000e+01 2.587245e-03
1.800000e+01 4.448496e-03
2.350000e+01 7.328637e-03
3.050000e+01 9.082319e-03
4.000000e+01 1.323044e-02
5.250000e+01 2.173653e-02
6.850000e+01 3.067768e-02
8.950000e+01 4.485017e-02
1.170000e+02 6.274235e-02
1.525000e+02 8.924565e-02
1.980000e+02 1.229970e-01
2.575000e+02 1.671255e-01
3.355000e+02 2.329659e-01
4.365000e+02 3.146310e-01
5.675000e+02 4.253595e-01
7.380000e+02 5.554541e-01
9.595000e+02 7.136113e-01
