# L1_m9 Mstar-1sigma lightcone-0 tSZ; HEALPix Nside=4096 pixel window deconvolved; full sky (anafast, mean subtracted); uniform mean of D_ell over inclusive Planck bins
# ell_eff  1e12_D_ell_yy
1.000000e+01 7.861818e-03
1.350000e+01 1.329580e-02
1.800000e+01 2.122271e-02
2.350000e+01 2.726575e-02
3.050000e+01 3.792173e-02
4.000000e+01 6.241695e-02
5.250000e+01 9.679995e-02
6.850000e+01 1.135074e-01
8.950000e+01 1.622577e-01
1.170000e+02 2.064558e-01
1.525000e+02 2.624081e-01
1.980000e+02 3.259483e-01
2.575000e+02 3.820227e-01
3.355000e+02 4.589585e-01
4.365000e+02 5.436559e-01
5.675000e+02 6.557951e-01
7.380000e+02 7.925307e-01
9.595000e+02 9.598557e-01
