# L1_m9 Mstar-1sigma lightcone-0 tSZ; HEALPix Nside=4096 pixel window deconvolved; full sky (anafast, mean subtracted); uniform mean of C_ell in log bins, Delta ln ell = 0.4, ell_max = 10000
# ell_eff  1e12_D_ell_yy
1.005184e+02 1.779152e-01
1.499558e+02 2.565715e-01
2.237077e+02 3.488248e-01
3.337327e+02 4.519534e-01
4.978707e+02 5.947522e-01
7.427358e+02 7.918727e-01
1.108032e+03 1.050006e+00
1.652989e+03 1.317156e+00
2.465970e+03 1.526432e+00
3.678794e+03 1.603688e+00
5.488116e+03 1.474827e+00
8.187308e+03 1.170876e+00
