# L1_m9 Mstar-1sigma lightcone-0 tSZ; HEALPix Nside=4096 pixel window deconvolved; masked q>1 (qfrommz_alpha_fixed_1p12); r=max(4*theta500, 2x10arcmin), C2 apodization 0.25 deg, masked monopole subtracted, NaMaster MASTER per-ell (nlb=1, lmax=10000); uniform mean of D_ell over inclusive Planck bins
# ell_eff  1e12_D_ell_yy
1.000000e+01 8.367310e-04
1.350000e+01 9.593471e-04
1.800000e+01 1.800866e-03
2.350000e+01 2.879590e-03
3.050000e+01 3.681244e-03
4.000000e+01 5.637830e-03
5.250000e+01 8.692629e-03
6.850000e+01 1.186870e-02
8.950000e+01 1.831363e-02
1.170000e+02 2.516276e-02
1.525000e+02 3.765185e-02
1.980000e+02 5.169639e-02
2.575000e+02 7.292620e-02
3.355000e+02 1.062660e-01
4.365000e+02 1.513779e-01
5.675000e+02 2.143269e-01
7.380000e+02 2.918668e-01
9.595000e+02 4.015006e-01
