# L1_m9 fgas+2sigma lightcone-0 tSZ; HEALPix Nside=4096 pixel window deconvolved; full sky (anafast, mean subtracted); uniform mean of D_ell over inclusive Planck bins
# ell_eff  1e12_D_ell_yy
1.000000e+01 7.341671e-03
1.350000e+01 1.237243e-02
1.800000e+01 1.982684e-02
2.350000e+01 2.557173e-02
3.050000e+01 3.552551e-02
4.000000e+01 5.854801e-02
5.250000e+01 9.073492e-02
6.850000e+01 1.071690e-01
8.950000e+01 1.534470e-01
1.170000e+02 1.962343e-01
1.525000e+02 2.513121e-01
1.980000e+02 3.153270e-01
2.575000e+02 3.709390e-01
3.355000e+02 4.477315e-01
4.365000e+02 5.308009e-01
5.675000e+02 6.416996e-01
7.380000e+02 7.762206e-01
9.595000e+02 9.421830e-01
