# L1_m9 fgas+2sigma lightcone-0 tSZ; HEALPix Nside=4096 pixel window deconvolved; full sky (anafast, mean subtracted); uniform mean of C_ell in log bins, Delta ln ell = 0.4, ell_max = 10000
# ell_eff  1e12_D_ell_yy
1.005184e+02 1.687374e-01
1.499558e+02 2.455011e-01
2.237077e+02 3.380013e-01
3.337327e+02 4.406043e-01
4.978707e+02 5.813715e-01
7.427358e+02 7.755726e-01
1.108032e+03 1.033356e+00
1.652989e+03 1.310057e+00
2.465970e+03 1.545937e+00
3.678794e+03 1.670675e+00
5.488116e+03 1.604277e+00
8.187308e+03 1.362094e+00
