# L1_m9 fgas+2sigma lightcone-0 tSZ; HEALPix Nside=4096 pixel window deconvolved; masked q>1 (qfrommz_alpha_fixed_1p12); r=max(4*theta500, 2x10arcmin), C2 apodization 0.25 deg, masked monopole subtracted, NaMaster MASTER per-ell (nlb=1, lmax=10000); uniform mean of D_ell over inclusive Planck bins
# ell_eff  1e12_D_ell_yy
1.000000e+01 8.586999e-04
1.350000e+01 1.014206e-03
1.800000e+01 1.562318e-03
2.350000e+01 3.017016e-03
3.050000e+01 3.863461e-03
4.000000e+01 5.518279e-03
5.250000e+01 8.353765e-03
6.850000e+01 1.152154e-02
8.950000e+01 1.698113e-02
1.170000e+02 2.431207e-02
1.525000e+02 3.584481e-02
1.980000e+02 5.262700e-02
2.575000e+02 7.139673e-02
3.355000e+02 1.060677e-01
4.365000e+02 1.463313e-01
5.675000e+02 2.056195e-01
7.380000e+02 2.829540e-01
9.595000e+02 3.869911e-01
