# L1_m9 fgas-4sigma lightcone-0 tSZ; HEALPix Nside=4096 pixel window deconvolved; full sky (anafast, mean subtracted); uniform mean of D_ell over inclusive Planck bins
# ell_eff  1e12_D_ell_yy
1.000000e+01 7.804851e-03
1.350000e+01 1.330091e-02
1.800000e+01 2.112948e-02
2.350000e+01 2.708797e-02
3.050000e+01 3.761657e-02
4.000000e+01 6.148736e-02
5.250000e+01 9.499696e-02
6.850000e+01 1.103115e-01
8.950000e+01 1.561673e-01
1.170000e+02 1.960067e-01
1.525000e+02 2.447847e-01
1.980000e+02 2.984488e-01
2.575000e+02 3.460138e-01
3.355000e+02 4.132673e-01
4.365000e+02 4.894933e-01
5.675000e+02 5.924807e-01
7.380000e+02 7.141107e-01
9.595000e+02 8.589757e-01
