# L1_m9 fgas-4sigma lightcone-0 tSZ; HEALPix Nside=4096 pixel window deconvolved; masked q>1 (qfrommz_alpha_fixed_1p12); r=max(4*theta500, 2x10arcmin), C2 apodization 0.25 deg, masked monopole subtracted, NaMaster MASTER per-ell (nlb=1, lmax=10000); uniform mean of C_ell in log bins, Delta ln ell = 0.4, ell_max = 10000
# ell_eff  1e12_D_ell_yy
1.005184e+02 2.259363e-02
1.499558e+02 3.980423e-02
2.237077e+02 6.456016e-02
3.337327e+02 1.083088e-01
4.978707e+02 1.766691e-01
7.427358e+02 2.787153e-01
1.108032e+03 4.304953e-01
1.652989e+03 6.121043e-01
2.465970e+03 7.970568e-01
3.678794e+03 9.142252e-01
5.488116e+03 8.925231e-01
8.187308e+03 7.306214e-01
