# L1_m9 fgas-8sigma lightcone-0 tSZ; HEALPix Nside=4096 pixel window deconvolved; full sky (anafast, mean subtracted); uniform mean of C_ell in log bins, Delta ln ell = 0.4, ell_max = 10000
# ell_eff  1e12_D_ell_yy
1.005184e+02 1.658045e-01
1.499558e+02 2.293090e-01
2.237077e+02 3.000145e-01
3.337327e+02 3.841573e-01
4.978707e+02 5.034011e-01
7.427358e+02 6.619425e-01
1.108032e+03 8.521222e-01
1.652989e+03 1.021569e+00
2.465970e+03 1.109777e+00
3.678794e+03 1.067694e+00
5.488116e+03 8.763775e-01
8.187308e+03 6.053693e-01
