# L1_m9 fgas-8sigma lightcone-0 tSZ; HEALPix Nside=4096 pixel window deconvolved; masked q>1 (qfrommz_alpha_fixed_1p12); r=max(4*theta500, 2x10arcmin), C2 apodization 0.25 deg, masked monopole subtracted, NaMaster MASTER per-ell (nlb=1, lmax=10000); uniform mean of D_ell over inclusive Planck bins
# ell_eff  1e12_D_ell_yy
1.000000e+01 9.948192e-04
1.350000e+01 1.031183e-03
1.800000e+01 1.524224e-03
2.350000e+01 2.968006e-03
3.050000e+01 3.993821e-03
4.000000e+01 6.211759e-03
5.250000e+01 9.467355e-03
6.850000e+01 1.305900e-02
8.950000e+01 1.866541e-02
1.170000e+02 2.722921e-02
1.525000e+02 3.732141e-02
1.980000e+02 5.305314e-02
2.575000e+02 7.540898e-02
3.355000e+02 1.062110e-01
4.365000e+02 1.460381e-01
5.675000e+02 1.995795e-01
7.380000e+02 2.671381e-01
9.595000e+02 3.519121e-01
