# L1_m9 fiducial lightcone-0 tSZ; HEALPix Nside=4096 pixel window deconvolved; full sky (anafast, mean subtracted); uniform mean of D_ell over inclusive Planck bins
# ell_eff  1e12_D_ell_yy
1.000000e+01 7.509533e-03
1.350000e+01 1.271769e-02
1.800000e+01 2.030414e-02
2.350000e+01 2.610686e-02
3.050000e+01 3.632666e-02
4.000000e+01 5.974951e-02
5.250000e+01 9.254904e-02
6.850000e+01 1.086033e-01
8.950000e+01 1.551723e-01
1.170000e+02 1.975344e-01
1.525000e+02 2.514348e-01
1.980000e+02 3.131349e-01
2.575000e+02 3.676017e-01
3.355000e+02 4.432983e-01
4.365000e+02 5.251951e-01
5.675000e+02 6.350239e-01
7.380000e+02 7.680225e-01
9.595000e+02 9.303202e-01
