# L1_m9 fiducial lightcone-0 tSZ; HEALPix Nside=4096 pixel window deconvolved; masked q>1 (qfrommz_alpha_fixed_1p12); r=max(4*theta500, 2x10arcmin), C2 apodization 0.25 deg, masked monopole subtracted, NaMaster MASTER per-ell (nlb=1, lmax=10000); uniform mean of C_ell in log bins, Delta ln ell = 0.4, ell_max = 10000
# ell_eff  1e12_D_ell_yy
1.005184e+02 2.087851e-02
1.499558e+02 3.631833e-02
2.237077e+02 6.252682e-02
3.337327e+02 1.106495e-01
4.978707e+02 1.849053e-01
7.427358e+02 2.983977e-01
1.108032e+03 4.650702e-01
1.652989e+03 6.755461e-01
2.465970e+03 9.115999e-01
3.678794e+03 1.106527e+00
5.488116e+03 1.159727e+00
8.187308e+03 1.043918e+00
