# L1_m9 fiducial lightcone-0 tSZ; HEALPix Nside=4096 pixel window deconvolved; masked q>5 (qfrommz_alpha_fixed_1p12); r=max(4*theta500, 2x10arcmin), C2 apodization 0.25 deg, masked monopole subtracted, NaMaster MASTER per-ell (nlb=1, lmax=10000); uniform mean of D_ell over inclusive Planck bins
# ell_eff  1e12_D_ell_yy
1.000000e+01 1.874780e-03
1.350000e+01 2.342044e-03
1.800000e+01 3.938890e-03
2.350000e+01 6.341116e-03
3.050000e+01 7.982884e-03
4.000000e+01 1.092552e-02
5.250000e+01 1.800588e-02
6.850000e+01 2.513385e-02
8.950000e+01 3.655369e-02
1.170000e+02 5.155547e-02
1.525000e+02 7.654973e-02
1.980000e+02 1.077617e-01
2.575000e+02 1.516197e-01
3.355000e+02 2.197885e-01
4.365000e+02 3.037979e-01
5.675000e+02 4.209596e-01
7.380000e+02 5.615621e-01
9.595000e+02 7.339384e-01
