# Jet_fgas-4sigma fullsky
# ell  D_ell = ell(ell+1)C_ell/2pi
1.650000e+01 1.789875e-14
4.650000e+01 7.742554e-14
7.650000e+01 1.252728e-13
1.065000e+02 1.727151e-13
1.365000e+02 2.144171e-13
1.665000e+02 2.457571e-13
1.965000e+02 2.848380e-13
2.265000e+02 3.077346e-13
2.565000e+02 3.270477e-13
2.865000e+02 3.535734e-13
3.165000e+02 3.824258e-13
3.465000e+02 4.017675e-13
3.765000e+02 4.302178e-13
4.065000e+02 4.466538e-13
4.365000e+02 4.798667e-13
4.665000e+02 4.918093e-13
4.965000e+02 5.166339e-13
5.265000e+02 5.440054e-13
5.565000e+02 5.584151e-13
5.865000e+02 5.802349e-13
6.165000e+02 5.965517e-13
6.465000e+02 6.228212e-13
6.765000e+02 6.322843e-13
7.065000e+02 6.602778e-13
7.365000e+02 6.846491e-13
7.665000e+02 7.000732e-13
7.965000e+02 7.202311e-13
8.265000e+02 7.273217e-13
8.565000e+02 7.535538e-13
8.865000e+02 7.705140e-13
9.165000e+02 7.824802e-13
9.465000e+02 8.040272e-13
9.765000e+02 8.265645e-13
1.006500e+03 8.323616e-13
1.036500e+03 8.479564e-13
1.066500e+03 8.651036e-13
1.096500e+03 8.769370e-13
1.126500e+03 8.811323e-13
1.156500e+03 9.064706e-13
1.186500e+03 9.143487e-13
1.216500e+03 9.368816e-13
1.246500e+03 9.509358e-13
1.276500e+03 9.564236e-13
1.306500e+03 9.672308e-13
1.336500e+03 9.753013e-13
1.366500e+03 9.966912e-13
1.396500e+03 9.931584e-13
1.426500e+03 1.007288e-12
1.456500e+03 1.017919e-12
1.486500e+03 1.021821e-12
1.516500e+03 1.029099e-12
1.546500e+03 1.042584e-12
1.576500e+03 1.050922e-12
1.606500e+03 1.057691e-12
1.636500e+03 1.060158e-12
1.666500e+03 1.074219e-12
1.696500e+03 1.089289e-12
1.726500e+03 1.092227e-12
1.756500e+03 1.094741e-12
1.786500e+03 1.101890e-12
1.816500e+03 1.099246e-12
1.846500e+03 1.103585e-12
1.876500e+03 1.104750e-12
1.906500e+03 1.117071e-12
1.936500e+03 1.133159e-12
1.966500e+03 1.128696e-12
1.996500e+03 1.139194e-12
2.026500e+03 1.133148e-12
2.056500e+03 1.136756e-12
2.086500e+03 1.142258e-12
2.116500e+03 1.152779e-12
2.146500e+03 1.149134e-12
2.176500e+03 1.153292e-12
2.206500e+03 1.166841e-12
2.236500e+03 1.165107e-12
2.266500e+03 1.171412e-12
2.296500e+03 1.174535e-12
2.326500e+03 1.170049e-12
2.356500e+03 1.176648e-12
2.386500e+03 1.175897e-12
2.416500e+03 1.179766e-12
