# Jet_fgas-4sigma qgt20
# ell  D_ell = ell(ell+1)C_ell/2pi
1.650000e+01 5.054685e-15
4.650000e+01 2.271261e-14
7.650000e+01 4.375858e-14
1.065000e+02 6.920434e-14
1.365000e+02 9.784716e-14
1.665000e+02 1.227306e-13
1.965000e+02 1.512432e-13
2.265000e+02 1.780818e-13
2.565000e+02 2.084845e-13
2.865000e+02 2.323020e-13
3.165000e+02 2.666896e-13
3.465000e+02 2.915758e-13
3.765000e+02 3.247089e-13
4.065000e+02 3.483311e-13
4.365000e+02 3.809989e-13
4.665000e+02 4.006687e-13
4.965000e+02 4.323467e-13
5.265000e+02 4.631053e-13
5.565000e+02 4.853106e-13
5.865000e+02 5.061109e-13
6.165000e+02 5.285474e-13
6.465000e+02 5.542160e-13
6.765000e+02 5.697188e-13
7.065000e+02 5.970831e-13
7.365000e+02 6.277524e-13
7.665000e+02 6.439433e-13
7.965000e+02 6.658235e-13
8.265000e+02 6.762833e-13
8.565000e+02 7.033455e-13
8.865000e+02 7.247072e-13
9.165000e+02 7.384702e-13
9.465000e+02 7.589059e-13
9.765000e+02 7.824375e-13
1.006500e+03 7.920725e-13
1.036500e+03 8.119444e-13
1.066500e+03 8.282443e-13
1.096500e+03 8.419532e-13
1.126500e+03 8.464725e-13
1.156500e+03 8.727902e-13
1.186500e+03 8.829827e-13
1.216500e+03 9.060912e-13
1.246500e+03 9.207755e-13
1.276500e+03 9.270160e-13
1.306500e+03 9.391908e-13
1.336500e+03 9.489941e-13
1.366500e+03 9.708448e-13
1.396500e+03 9.681416e-13
1.426500e+03 9.840921e-13
1.456500e+03 9.959016e-13
1.486500e+03 1.003349e-12
1.516500e+03 1.011528e-12
1.546500e+03 1.023603e-12
1.576500e+03 1.031159e-12
1.606500e+03 1.041559e-12
1.636500e+03 1.042223e-12
1.666500e+03 1.056650e-12
1.696500e+03 1.072764e-12
1.726500e+03 1.077780e-12
1.756500e+03 1.079610e-12
1.786500e+03 1.085113e-12
1.816500e+03 1.085454e-12
1.846500e+03 1.091327e-12
1.876500e+03 1.090593e-12
1.906500e+03 1.103538e-12
1.936500e+03 1.121720e-12
1.966500e+03 1.117629e-12
1.996500e+03 1.127400e-12
2.026500e+03 1.121596e-12
2.056500e+03 1.124262e-12
2.086500e+03 1.130018e-12
2.116500e+03 1.143130e-12
2.146500e+03 1.138583e-12
2.176500e+03 1.143562e-12
2.206500e+03 1.157181e-12
2.236500e+03 1.156369e-12
2.266500e+03 1.161362e-12
2.296500e+03 1.165396e-12
2.326500e+03 1.160689e-12
2.356500e+03 1.167979e-12
2.386500e+03 1.168286e-12
2.416500e+03 1.172114e-12
2.446500e+03 1.170052e-12
2.476500e+03 1.167431e-12
2.506500e+03 1.183958e-12
2.536500e+03 1.187817e-12
2.566500e+03 1.186067e-12
2.596500e+03 1.175208e-12
2.626500e+03 1.187468e-12
2.656500e+03 1.186682e-12
2.686500e+03 1.186218e-12
2.716500e+03 1.188943e-12
2.746500e+03 1.190786e-12
2.776500e+03 1.191138e-12
2.806500e+03 1.193748e-12
2.836500e+03 1.194613e-12
2.866500e+03 1.193386e-12
2.896500e+03 1.191500e-12
2.926500e+03 1.196403e-12
2.956500e+03 1.188391e-12
2.986500e+03 1.190686e-12
3.016500e+03 1.196258e-12
3.046500e+03 1.186180e-12
3.076500e+03 1.192589e-12
3.106500e+03 1.189191e-12
3.136500e+03 1.185076e-12
3.166500e+03 1.188069e-12
3.196500e+03 1.186898e-12
3.226500e+03 1.179930e-12
3.256500e+03 1.185134e-12
3.286500e+03 1.200586e-12
3.316500e+03 1.195505e-12
3.346500e+03 1.192206e-12
3.376500e+03 1.188167e-12
3.406500e+03 1.186419e-12
3.436500e+03 1.188786e-12
3.466500e+03 1.180403e-12
3.496500e+03 1.180449e-12
3.526500e+03 1.173118e-12
3.556500e+03 1.175065e-12
3.586500e+03 1.172683e-12
3.616500e+03 1.171834e-12
3.646500e+03 1.174990e-12
3.676500e+03 1.166707e-12
3.706500e+03 1.166538e-12
3.736500e+03 1.169862e-12
3.766500e+03 1.164761e-12
3.796500e+03 1.161526e-12
3.826500e+03 1.161773e-12
3.856500e+03 1.161004e-12
3.886500e+03 1.152058e-12
3.916500e+03 1.154883e-12
3.946500e+03 1.149261e-12
3.976500e+03 1.150253e-12
4.006500e+03 1.143660e-12
4.036500e+03 1.148269e-12
4.066500e+03 1.143332e-12
4.096500e+03 1.144223e-12
4.126500e+03 1.133225e-12
4.156500e+03 1.138513e-12
4.186500e+03 1.136141e-12
4.216500e+03 1.123676e-12
4.246500e+03 1.131067e-12
4.276500e+03 1.129648e-12
4.306500e+03 1.123882e-12
4.336500e+03 1.125051e-12
4.366500e+03 1.117825e-12
4.396500e+03 1.116108e-12
4.426500e+03 1.107827e-12
4.456500e+03 1.108462e-12
4.486500e+03 1.101946e-12
4.516500e+03 1.101304e-12
4.546500e+03 1.097941e-12
4.576500e+03 1.096457e-12
4.606500e+03 1.098536e-12
4.636500e+03 1.088662e-12
4.666500e+03 1.088082e-12
4.696500e+03 1.083467e-12
4.726500e+03 1.086093e-12
4.756500e+03 1.077978e-12
