# Jet fullsky
# ell  D_ell = ell(ell+1)C_ell/2pi
1.650000e+01 1.617954e-14
4.650000e+01 7.087370e-14
7.650000e+01 1.178795e-13
1.065000e+02 1.669798e-13
1.365000e+02 2.109224e-13
1.665000e+02 2.444333e-13
1.965000e+02 2.866787e-13
2.265000e+02 3.131938e-13
2.565000e+02 3.336467e-13
2.865000e+02 3.612516e-13
3.165000e+02 3.911411e-13
3.465000e+02 4.098792e-13
3.765000e+02 4.383963e-13
4.065000e+02 4.561241e-13
4.365000e+02 4.928043e-13
4.665000e+02 5.052894e-13
4.965000e+02 5.314562e-13
5.265000e+02 5.605886e-13
5.565000e+02 5.785567e-13
5.865000e+02 6.010868e-13
6.165000e+02 6.188491e-13
6.465000e+02 6.501076e-13
6.765000e+02 6.593135e-13
7.065000e+02 6.905881e-13
7.365000e+02 7.187599e-13
7.665000e+02 7.349594e-13
7.965000e+02 7.590411e-13
8.265000e+02 7.652256e-13
8.565000e+02 7.956642e-13
8.865000e+02 8.150419e-13
9.165000e+02 8.316467e-13
9.465000e+02 8.560281e-13
9.765000e+02 8.785288e-13
1.006500e+03 8.867991e-13
1.036500e+03 9.075787e-13
1.066500e+03 9.264730e-13
1.096500e+03 9.413684e-13
1.126500e+03 9.469945e-13
1.156500e+03 9.752492e-13
1.186500e+03 9.859170e-13
1.216500e+03 1.012326e-12
1.246500e+03 1.030578e-12
1.276500e+03 1.038818e-12
1.306500e+03 1.052337e-12
1.336500e+03 1.061562e-12
1.366500e+03 1.087208e-12
1.396500e+03 1.083962e-12
1.426500e+03 1.102190e-12
1.456500e+03 1.116291e-12
1.486500e+03 1.121759e-12
1.516500e+03 1.131055e-12
1.546500e+03 1.147761e-12
1.576500e+03 1.160968e-12
1.606500e+03 1.169474e-12
1.636500e+03 1.174046e-12
1.666500e+03 1.192456e-12
1.696500e+03 1.209793e-12
1.726500e+03 1.214802e-12
1.756500e+03 1.220083e-12
1.786500e+03 1.229374e-12
1.816500e+03 1.229163e-12
1.846500e+03 1.235087e-12
1.876500e+03 1.241183e-12
1.906500e+03 1.254790e-12
1.936500e+03 1.274723e-12
1.966500e+03 1.274066e-12
1.996500e+03 1.286837e-12
2.026500e+03 1.283086e-12
2.056500e+03 1.290029e-12
2.086500e+03 1.297474e-12
2.116500e+03 1.309876e-12
2.146500e+03 1.308619e-12
2.176500e+03 1.314564e-12
2.206500e+03 1.330922e-12
2.236500e+03 1.333621e-12
2.266500e+03 1.341007e-12
2.296500e+03 1.346014e-12
2.326500e+03 1.343547e-12
2.356500e+03 1.352356e-12
2.386500e+03 1.353301e-12
2.416500e+03 1.361064e-12
2.446500e+03 1.358805e-12
2.476500e+03 1.358680e-12
2.506500e+03 1.380407e-12
2.536500e+03 1.387478e-12
2.566500e+03 1.384866e-12
2.596500e+03 1.375549e-12
2.626500e+03 1.389181e-12
2.656500e+03 1.389743e-12
2.686500e+03 1.391865e-12
2.716500e+03 1.399081e-12
2.746500e+03 1.403380e-12
2.776500e+03 1.404557e-12
2.806500e+03 1.408465e-12
2.836500e+03 1.408945e-12
2.866500e+03 1.410542e-12
2.896500e+03 1.412311e-12
2.926500e+03 1.417510e-12
2.956500e+03 1.411456e-12
2.986500e+03 1.419112e-12
3.016500e+03 1.422783e-12
3.046500e+03 1.412794e-12
3.076500e+03 1.424463e-12
3.106500e+03 1.420612e-12
3.136500e+03 1.419749e-12
3.166500e+03 1.425162e-12
3.196500e+03 1.425682e-12
3.226500e+03 1.416881e-12
3.256500e+03 1.424790e-12
3.286500e+03 1.445604e-12
3.316500e+03 1.441083e-12
3.346500e+03 1.435634e-12
3.376500e+03 1.436936e-12
3.406500e+03 1.438534e-12
