# Jet qgt50
# ell  D_ell = ell(ell+1)C_ell/2pi
1.650000e+01 6.728905e-15
4.650000e+01 3.133486e-14
7.650000e+01 6.125165e-14
1.065000e+02 9.974301e-14
1.365000e+02 1.333127e-13
1.665000e+02 1.686948e-13
1.965000e+02 2.063503e-13
2.265000e+02 2.364262e-13
2.565000e+02 2.710656e-13
2.865000e+02 2.995648e-13
3.165000e+02 3.378810e-13
3.465000e+02 3.662493e-13
3.765000e+02 3.988708e-13
4.065000e+02 4.207462e-13
4.365000e+02 4.608686e-13
4.665000e+02 4.780307e-13
4.965000e+02 5.098365e-13
5.265000e+02 5.431071e-13
5.565000e+02 5.634850e-13
5.865000e+02 5.876232e-13
6.165000e+02 6.079195e-13
6.465000e+02 6.389087e-13
6.765000e+02 6.489200e-13
7.065000e+02 6.789714e-13
7.365000e+02 7.111986e-13
7.665000e+02 7.276060e-13
7.965000e+02 7.531739e-13
8.265000e+02 7.599436e-13
8.565000e+02 7.902460e-13
8.865000e+02 8.098238e-13
9.165000e+02 8.279791e-13
9.465000e+02 8.500974e-13
9.765000e+02 8.733425e-13
1.006500e+03 8.831992e-13
1.036500e+03 9.038694e-13
1.066500e+03 9.226991e-13
1.096500e+03 9.373015e-13
1.126500e+03 9.444422e-13
1.156500e+03 9.719418e-13
1.186500e+03 9.841913e-13
1.216500e+03 1.009065e-12
1.246500e+03 1.027257e-12
1.276500e+03 1.035701e-12
1.306500e+03 1.048834e-12
1.336500e+03 1.058990e-12
1.366500e+03 1.083882e-12
1.396500e+03 1.080971e-12
1.426500e+03 1.099300e-12
1.456500e+03 1.113240e-12
1.486500e+03 1.119907e-12
1.516500e+03 1.129361e-12
1.546500e+03 1.145816e-12
1.576500e+03 1.158248e-12
1.606500e+03 1.167942e-12
1.636500e+03 1.172338e-12
1.666500e+03 1.189687e-12
1.696500e+03 1.207461e-12
1.726500e+03 1.213311e-12
1.756500e+03 1.217645e-12
1.786500e+03 1.227115e-12
1.816500e+03 1.227831e-12
1.846500e+03 1.233107e-12
1.876500e+03 1.238356e-12
1.906500e+03 1.252387e-12
1.936500e+03 1.271683e-12
1.966500e+03 1.271915e-12
1.996500e+03 1.284568e-12
2.026500e+03 1.281214e-12
2.056500e+03 1.287216e-12
2.086500e+03 1.295531e-12
2.116500e+03 1.308163e-12
2.146500e+03 1.306108e-12
2.176500e+03 1.312642e-12
2.206500e+03 1.328509e-12
2.236500e+03 1.330944e-12
2.266500e+03 1.338227e-12
2.296500e+03 1.343325e-12
2.326500e+03 1.341026e-12
2.356500e+03 1.349582e-12
2.386500e+03 1.351421e-12
2.416500e+03 1.358365e-12
2.446500e+03 1.356725e-12
2.476500e+03 1.356205e-12
