# L1_m9 fullsky
# ell  D_ell = ell(ell+1)C_ell/2pi
1.650000e+01 1.705799e-14
4.650000e+01 7.564641e-14
7.650000e+01 1.271568e-13
1.065000e+02 1.814288e-13
1.365000e+02 2.306758e-13
1.665000e+02 2.683296e-13
1.965000e+02 3.143295e-13
2.265000e+02 3.439503e-13
2.565000e+02 3.644821e-13
2.865000e+02 3.959355e-13
3.165000e+02 4.286738e-13
3.465000e+02 4.486318e-13
3.765000e+02 4.781564e-13
4.065000e+02 4.971121e-13
4.365000e+02 5.341797e-13
4.665000e+02 5.474888e-13
4.965000e+02 5.759253e-13
5.265000e+02 6.062380e-13
5.565000e+02 6.243939e-13
5.865000e+02 6.490925e-13
6.165000e+02 6.678901e-13
6.465000e+02 7.013328e-13
6.765000e+02 7.113318e-13
7.065000e+02 7.453025e-13
7.365000e+02 7.755036e-13
7.665000e+02 7.934965e-13
7.965000e+02 8.183960e-13
8.265000e+02 8.274827e-13
8.565000e+02 8.584433e-13
8.865000e+02 8.798869e-13
9.165000e+02 8.977908e-13
9.465000e+02 9.244721e-13
9.765000e+02 9.501810e-13
1.006500e+03 9.594610e-13
1.036500e+03 9.826305e-13
1.066500e+03 1.002474e-12
1.096500e+03 1.018674e-12
1.126500e+03 1.025835e-12
1.156500e+03 1.056710e-12
1.186500e+03 1.068353e-12
1.216500e+03 1.097998e-12
1.246500e+03 1.116409e-12
1.276500e+03 1.127217e-12
1.306500e+03 1.142464e-12
1.336500e+03 1.153200e-12
1.366500e+03 1.182110e-12
1.396500e+03 1.178230e-12
1.426500e+03 1.199300e-12
1.456500e+03 1.213597e-12
1.486500e+03 1.221060e-12
1.516500e+03 1.231950e-12
1.546500e+03 1.249987e-12
1.576500e+03 1.264623e-12
1.606500e+03 1.276201e-12
1.636500e+03 1.280156e-12
1.666500e+03 1.301444e-12
1.696500e+03 1.320042e-12
1.726500e+03 1.326875e-12
1.756500e+03 1.334145e-12
1.786500e+03 1.343995e-12
1.816500e+03 1.344414e-12
1.846500e+03 1.352116e-12
1.876500e+03 1.359951e-12
1.906500e+03 1.373353e-12
1.936500e+03 1.396748e-12
1.966500e+03 1.396098e-12
1.996500e+03 1.410216e-12
2.026500e+03 1.407425e-12
2.056500e+03 1.414420e-12
2.086500e+03 1.423197e-12
2.116500e+03 1.437375e-12
2.146500e+03 1.437455e-12
2.176500e+03 1.445111e-12
2.206500e+03 1.461394e-12
2.236500e+03 1.465996e-12
2.266500e+03 1.475259e-12
2.296500e+03 1.481641e-12
2.326500e+03 1.477120e-12
2.356500e+03 1.487996e-12
2.386500e+03 1.490873e-12
2.416500e+03 1.498999e-12
2.446500e+03 1.497411e-12
2.476500e+03 1.497285e-12
2.506500e+03 1.521879e-12
2.536500e+03 1.530584e-12
2.566500e+03 1.527629e-12
2.596500e+03 1.516925e-12
2.626500e+03 1.535031e-12
2.656500e+03 1.533729e-12
2.686500e+03 1.537327e-12
2.716500e+03 1.545850e-12
2.746500e+03 1.549532e-12
2.776500e+03 1.552804e-12
2.806500e+03 1.559139e-12
2.836500e+03 1.559489e-12
2.866500e+03 1.563084e-12
2.896500e+03 1.562436e-12
2.926500e+03 1.569195e-12
2.956500e+03 1.562252e-12
2.986500e+03 1.572527e-12
3.016500e+03 1.578360e-12
3.046500e+03 1.567079e-12
3.076500e+03 1.580151e-12
3.106500e+03 1.576366e-12
3.136500e+03 1.574759e-12
3.166500e+03 1.581802e-12
3.196500e+03 1.583648e-12
3.226500e+03 1.573662e-12
3.256500e+03 1.583876e-12
3.286500e+03 1.606807e-12
3.316500e+03 1.602293e-12
3.346500e+03 1.597544e-12
3.376500e+03 1.597761e-12
3.406500e+03 1.599862e-12
3.436500e+03 1.606423e-12
3.466500e+03 1.591918e-12
3.496500e+03 1.595038e-12
3.526500e+03 1.591236e-12
3.556500e+03 1.592125e-12
3.586500e+03 1.594172e-12
3.616500e+03 1.591022e-12
3.646500e+03 1.602277e-12
3.676500e+03 1.593271e-12
3.706500e+03 1.592924e-12
3.736500e+03 1.600585e-12
3.766500e+03 1.595287e-12
3.796500e+03 1.593415e-12
3.826500e+03 1.597913e-12
3.856500e+03 1.597801e-12
3.886500e+03 1.589677e-12
3.916500e+03 1.594989e-12
3.946500e+03 1.587450e-12
3.976500e+03 1.592835e-12
4.006500e+03 1.585479e-12
4.036500e+03 1.593187e-12
4.066500e+03 1.588480e-12
4.096500e+03 1.591567e-12
4.126500e+03 1.580018e-12
4.156500e+03 1.588607e-12
4.186500e+03 1.589417e-12
4.216500e+03 1.573313e-12
4.246500e+03 1.586793e-12
4.276500e+03 1.586335e-12
4.306500e+03 1.579629e-12
4.336500e+03 1.582147e-12
4.366500e+03 1.573474e-12
4.396500e+03 1.575136e-12
4.426500e+03 1.566144e-12
4.456500e+03 1.569151e-12
4.486500e+03 1.564756e-12
4.516500e+03 1.560708e-12
4.546500e+03 1.556908e-12
4.576500e+03 1.559860e-12
4.606500e+03 1.564153e-12
4.636500e+03 1.554765e-12
4.666500e+03 1.554477e-12
4.696500e+03 1.549042e-12
4.726500e+03 1.554451e-12
4.756500e+03 1.544808e-12
4.786500e+03 1.542199e-12
4.816500e+03 1.551185e-12
4.846500e+03 1.547318e-12
4.876500e+03 1.547615e-12
4.906500e+03 1.533678e-12
4.936500e+03 1.537913e-12
4.966500e+03 1.533231e-12
4.996500e+03 1.533583e-12
5.026500e+03 1.525603e-12
5.056500e+03 1.531709e-12
5.086500e+03 1.517956e-12
5.116500e+03 1.514039e-12
5.146500e+03 1.517467e-12
5.176500e+03 1.513441e-12
5.206500e+03 1.508937e-12
5.236500e+03 1.512204e-12
5.266500e+03 1.502324e-12
5.296500e+03 1.502761e-12
5.326500e+03 1.501653e-12
5.356500e+03 1.496762e-12
5.386500e+03 1.493392e-12
5.416500e+03 1.493994e-12
5.446500e+03 1.492762e-12
5.476500e+03 1.486162e-12
5.506500e+03 1.485464e-12
5.536500e+03 1.468607e-12
5.566500e+03 1.477105e-12
5.596500e+03 1.473336e-12
5.626500e+03 1.468574e-12
5.656500e+03 1.469202e-12
5.686500e+03 1.466125e-12
5.716500e+03 1.458312e-12
5.746500e+03 1.453219e-12
5.776500e+03 1.459181e-12
5.806500e+03 1.452186e-12
5.836500e+03 1.451850e-12
5.866500e+03 1.441157e-12
5.896500e+03 1.451627e-12
5.926500e+03 1.436914e-12
5.956500e+03 1.435879e-12
