# L1_m9 qgt10
# ell  D_ell = ell(ell+1)C_ell/2pi
1.650000e+01 3.970982e-15
4.650000e+01 1.821971e-14
7.650000e+01 3.596979e-14
1.065000e+02 5.619965e-14
1.365000e+02 7.890819e-14
1.665000e+02 1.045767e-13
1.965000e+02 1.270978e-13
2.265000e+02 1.538969e-13
2.565000e+02 1.814748e-13
2.865000e+02 2.050122e-13
3.165000e+02 2.377767e-13
3.465000e+02 2.651778e-13
3.765000e+02 2.946584e-13
4.065000e+02 3.177200e-13
4.365000e+02 3.533874e-13
4.665000e+02 3.711286e-13
4.965000e+02 4.071457e-13
5.265000e+02 4.371486e-13
5.565000e+02 4.620284e-13
5.865000e+02 4.864310e-13
6.165000e+02 5.140364e-13
6.465000e+02 5.402993e-13
6.765000e+02 5.585076e-13
7.065000e+02 5.894602e-13
7.365000e+02 6.236698e-13
7.665000e+02 6.453503e-13
7.965000e+02 6.710317e-13
8.265000e+02 6.839738e-13
8.565000e+02 7.170715e-13
8.865000e+02 7.406016e-13
9.165000e+02 7.610960e-13
9.465000e+02 7.868586e-13
9.765000e+02 8.119021e-13
1.006500e+03 8.292639e-13
1.036500e+03 8.554743e-13
1.066500e+03 8.808340e-13
1.096500e+03 8.987039e-13
1.126500e+03 9.109052e-13
1.156500e+03 9.358067e-13
1.186500e+03 9.532994e-13
1.216500e+03 9.818392e-13
1.246500e+03 9.995135e-13
1.276500e+03 1.016754e-12
1.306500e+03 1.030944e-12
1.336500e+03 1.046885e-12
1.366500e+03 1.078827e-12
1.396500e+03 1.074862e-12
1.426500e+03 1.097606e-12
1.456500e+03 1.116749e-12
1.486500e+03 1.127922e-12
1.516500e+03 1.142668e-12
1.546500e+03 1.160786e-12
1.576500e+03 1.173379e-12
1.606500e+03 1.190430e-12
1.636500e+03 1.190723e-12
1.666500e+03 1.219760e-12
1.696500e+03 1.236406e-12
1.726500e+03 1.248524e-12
1.756500e+03 1.249469e-12
1.786500e+03 1.261855e-12
1.816500e+03 1.270143e-12
1.846500e+03 1.276862e-12
1.876500e+03 1.288974e-12
1.906500e+03 1.301738e-12
1.936500e+03 1.327867e-12
1.966500e+03 1.325795e-12
1.996500e+03 1.342345e-12
2.026500e+03 1.342387e-12
2.056500e+03 1.350091e-12
2.086500e+03 1.358878e-12
2.116500e+03 1.377461e-12
2.146500e+03 1.377564e-12
2.176500e+03 1.388712e-12
2.206500e+03 1.402530e-12
2.236500e+03 1.409396e-12
2.266500e+03 1.419800e-12
2.296500e+03 1.425247e-12
2.326500e+03 1.421314e-12
2.356500e+03 1.435300e-12
2.386500e+03 1.440365e-12
2.416500e+03 1.447445e-12
2.446500e+03 1.452911e-12
2.476500e+03 1.450409e-12
2.506500e+03 1.474963e-12
2.536500e+03 1.485061e-12
2.566500e+03 1.485182e-12
2.596500e+03 1.475574e-12
2.626500e+03 1.495804e-12
2.656500e+03 1.491904e-12
2.686500e+03 1.496284e-12
2.716500e+03 1.502959e-12
2.746500e+03 1.511415e-12
2.776500e+03 1.515719e-12
2.806500e+03 1.518337e-12
2.836500e+03 1.527588e-12
2.866500e+03 1.527127e-12
2.896500e+03 1.529211e-12
2.926500e+03 1.535857e-12
2.956500e+03 1.524359e-12
2.986500e+03 1.538544e-12
3.016500e+03 1.544414e-12
3.046500e+03 1.536879e-12
3.076500e+03 1.547925e-12
3.106500e+03 1.545581e-12
3.136500e+03 1.546141e-12
3.166500e+03 1.550100e-12
3.196500e+03 1.553757e-12
3.226500e+03 1.545818e-12
3.256500e+03 1.556232e-12
3.286500e+03 1.578875e-12
3.316500e+03 1.575376e-12
3.346500e+03 1.570419e-12
3.376500e+03 1.571581e-12
3.406500e+03 1.573746e-12
3.436500e+03 1.581947e-12
3.466500e+03 1.569435e-12
3.496500e+03 1.570304e-12
3.526500e+03 1.568813e-12
3.556500e+03 1.571846e-12
3.586500e+03 1.574496e-12
3.616500e+03 1.568558e-12
3.646500e+03 1.579039e-12
3.676500e+03 1.574371e-12
3.706500e+03 1.574190e-12
3.736500e+03 1.579821e-12
3.766500e+03 1.577715e-12
3.796500e+03 1.576239e-12
3.826500e+03 1.578091e-12
3.856500e+03 1.578678e-12
3.886500e+03 1.570150e-12
3.916500e+03 1.577273e-12
3.946500e+03 1.571012e-12
3.976500e+03 1.575597e-12
4.006500e+03 1.568390e-12
4.036500e+03 1.575220e-12
4.066500e+03 1.574744e-12
4.096500e+03 1.577453e-12
4.126500e+03 1.564111e-12
4.156500e+03 1.575970e-12
4.186500e+03 1.574857e-12
4.216500e+03 1.559005e-12
4.246500e+03 1.573781e-12
4.276500e+03 1.569836e-12
4.306500e+03 1.565510e-12
4.336500e+03 1.566843e-12
4.366500e+03 1.560868e-12
4.396500e+03 1.563261e-12
4.426500e+03 1.551952e-12
4.456500e+03 1.556726e-12
4.486500e+03 1.549760e-12
4.516500e+03 1.548997e-12
4.546500e+03 1.545246e-12
4.576500e+03 1.546340e-12
4.606500e+03 1.554224e-12
4.636500e+03 1.542636e-12
4.666500e+03 1.543664e-12
4.696500e+03 1.536078e-12
4.726500e+03 1.543714e-12
4.756500e+03 1.532554e-12
4.786500e+03 1.530547e-12
4.816500e+03 1.542530e-12
4.846500e+03 1.537309e-12
4.876500e+03 1.537570e-12
4.906500e+03 1.524039e-12
4.936500e+03 1.527858e-12
4.966500e+03 1.523207e-12
4.996500e+03 1.522177e-12
5.026500e+03 1.515502e-12
5.056500e+03 1.523613e-12
5.086500e+03 1.510284e-12
5.116500e+03 1.504423e-12
5.146500e+03 1.508541e-12
5.176500e+03 1.504631e-12
5.206500e+03 1.500229e-12
5.236500e+03 1.504035e-12
5.266500e+03 1.493346e-12
5.296500e+03 1.493433e-12
5.326500e+03 1.492600e-12
5.356500e+03 1.488315e-12
5.386500e+03 1.487122e-12
5.416500e+03 1.485463e-12
5.446500e+03 1.485719e-12
5.476500e+03 1.476094e-12
5.506500e+03 1.477737e-12
5.536500e+03 1.460626e-12
5.566500e+03 1.470946e-12
5.596500e+03 1.468200e-12
5.626500e+03 1.461102e-12
5.656500e+03 1.461912e-12
5.686500e+03 1.459363e-12
5.716500e+03 1.452556e-12
5.746500e+03 1.446640e-12
5.776500e+03 1.453344e-12
5.806500e+03 1.447061e-12
5.836500e+03 1.446314e-12
5.866500e+03 1.437918e-12
5.896500e+03 1.446484e-12
5.926500e+03 1.438049e-12
5.956500e+03 1.446108e-12
