# Mstar-1sigma fullsky
# ell  D_ell = ell(ell+1)C_ell/2pi
1.650000e+01 1.783748e-14
4.650000e+01 7.906378e-14
7.650000e+01 1.329829e-13
1.065000e+02 1.895140e-13
1.365000e+02 2.410876e-13
1.665000e+02 2.797287e-13
1.965000e+02 3.274355e-13
2.265000e+02 3.574578e-13
2.565000e+02 3.791904e-13
2.865000e+02 4.107675e-13
3.165000e+02 4.440394e-13
3.465000e+02 4.641212e-13
3.765000e+02 4.950887e-13
4.065000e+02 5.142343e-13
4.365000e+02 5.533254e-13
4.665000e+02 5.669064e-13
4.965000e+02 5.956310e-13
5.265000e+02 6.264903e-13
5.565000e+02 6.444049e-13
5.865000e+02 6.701966e-13
6.165000e+02 6.893646e-13
6.465000e+02 7.239752e-13
6.765000e+02 7.340855e-13
7.065000e+02 7.692447e-13
7.365000e+02 8.001611e-13
7.665000e+02 8.186694e-13
7.965000e+02 8.443269e-13
8.265000e+02 8.540052e-13
8.565000e+02 8.865036e-13
8.865000e+02 9.084300e-13
9.165000e+02 9.266361e-13
9.465000e+02 9.537491e-13
9.765000e+02 9.801857e-13
1.006500e+03 9.904320e-13
1.036500e+03 1.012858e-12
1.066500e+03 1.033213e-12
1.096500e+03 1.050167e-12
1.126500e+03 1.057002e-12
1.156500e+03 1.088453e-12
1.186500e+03 1.100891e-12
1.216500e+03 1.130784e-12
1.246500e+03 1.149102e-12
1.276500e+03 1.160526e-12
1.306500e+03 1.175445e-12
1.336500e+03 1.186201e-12
1.366500e+03 1.214872e-12
1.396500e+03 1.211432e-12
1.426500e+03 1.232933e-12
1.456500e+03 1.247349e-12
1.486500e+03 1.255459e-12
1.516500e+03 1.266201e-12
1.546500e+03 1.284572e-12
1.576500e+03 1.299094e-12
1.606500e+03 1.309877e-12
1.636500e+03 1.314223e-12
1.666500e+03 1.335622e-12
1.696500e+03 1.354728e-12
1.726500e+03 1.360965e-12
1.756500e+03 1.367645e-12
1.786500e+03 1.377856e-12
1.816500e+03 1.378199e-12
1.846500e+03 1.385769e-12
1.876500e+03 1.393050e-12
1.906500e+03 1.407107e-12
1.936500e+03 1.430304e-12
1.966500e+03 1.429247e-12
1.996500e+03 1.443337e-12
2.026500e+03 1.439632e-12
2.056500e+03 1.447576e-12
2.086500e+03 1.456453e-12
2.116500e+03 1.469467e-12
2.146500e+03 1.469502e-12
2.176500e+03 1.477471e-12
2.206500e+03 1.494205e-12
2.236500e+03 1.497023e-12
2.266500e+03 1.507216e-12
2.296500e+03 1.512825e-12
2.326500e+03 1.508752e-12
2.356500e+03 1.519497e-12
2.386500e+03 1.520966e-12
2.416500e+03 1.529155e-12
2.446500e+03 1.527370e-12
2.476500e+03 1.526938e-12
2.506500e+03 1.551728e-12
2.536500e+03 1.559883e-12
2.566500e+03 1.556899e-12
2.596500e+03 1.545811e-12
2.626500e+03 1.563631e-12
2.656500e+03 1.562711e-12
2.686500e+03 1.565089e-12
2.716500e+03 1.573181e-12
2.746500e+03 1.577135e-12
2.776500e+03 1.579784e-12
2.806500e+03 1.584681e-12
2.836500e+03 1.586225e-12
2.866500e+03 1.588397e-12
2.896500e+03 1.588426e-12
2.926500e+03 1.593678e-12
2.956500e+03 1.586917e-12
2.986500e+03 1.596537e-12
3.016500e+03 1.602150e-12
3.046500e+03 1.591995e-12
3.076500e+03 1.604362e-12
3.106500e+03 1.598978e-12
3.136500e+03 1.597317e-12
3.166500e+03 1.604071e-12
3.196500e+03 1.605125e-12
3.226500e+03 1.595240e-12
3.256500e+03 1.604855e-12
3.286500e+03 1.628137e-12
3.316500e+03 1.623473e-12
3.346500e+03 1.617301e-12
3.376500e+03 1.617733e-12
3.406500e+03 1.618638e-12
3.436500e+03 1.624284e-12
3.466500e+03 1.609794e-12
3.496500e+03 1.612705e-12
3.526500e+03 1.608409e-12
3.556500e+03 1.609786e-12
3.586500e+03 1.610441e-12
3.616500e+03 1.607992e-12
3.646500e+03 1.617969e-12
3.676500e+03 1.608393e-12
3.706500e+03 1.607339e-12
3.736500e+03 1.614649e-12
3.766500e+03 1.609779e-12
3.796500e+03 1.606820e-12
3.826500e+03 1.611169e-12
3.856500e+03 1.610858e-12
3.886500e+03 1.601718e-12
3.916500e+03 1.606568e-12
3.946500e+03 1.599260e-12
3.976500e+03 1.604074e-12
4.006500e+03 1.596324e-12
4.036500e+03 1.603975e-12
4.066500e+03 1.598831e-12
4.096500e+03 1.602132e-12
4.126500e+03 1.588803e-12
4.156500e+03 1.596850e-12
4.186500e+03 1.597361e-12
4.216500e+03 1.580997e-12
4.246500e+03 1.594079e-12
4.276500e+03 1.594053e-12
4.306500e+03 1.586168e-12
4.336500e+03 1.588138e-12
4.366500e+03 1.580069e-12
4.396500e+03 1.581200e-12
4.426500e+03 1.570675e-12
4.456500e+03 1.573389e-12
4.486500e+03 1.567897e-12
4.516500e+03 1.565006e-12
4.546500e+03 1.560230e-12
4.576500e+03 1.562555e-12
4.606500e+03 1.566171e-12
4.636500e+03 1.556708e-12
4.666500e+03 1.555788e-12
4.696500e+03 1.550309e-12
4.726500e+03 1.555155e-12
4.756500e+03 1.545041e-12
4.786500e+03 1.541209e-12
4.816500e+03 1.550902e-12
4.846500e+03 1.546209e-12
4.876500e+03 1.546001e-12
4.906500e+03 1.532423e-12
4.936500e+03 1.535795e-12
4.966500e+03 1.530546e-12
4.996500e+03 1.530642e-12
5.026500e+03 1.522579e-12
5.056500e+03 1.527355e-12
5.086500e+03 1.513415e-12
5.116500e+03 1.509498e-12
5.146500e+03 1.512246e-12
5.176500e+03 1.507873e-12
5.206500e+03 1.503243e-12
5.236500e+03 1.505847e-12
5.266500e+03 1.495449e-12
5.296500e+03 1.495707e-12
5.326500e+03 1.494844e-12
5.356500e+03 1.489538e-12
5.386500e+03 1.484650e-12
5.416500e+03 1.485108e-12
5.446500e+03 1.484052e-12
5.476500e+03 1.476465e-12
5.506500e+03 1.475992e-12
5.536500e+03 1.457792e-12
5.566500e+03 1.466385e-12
5.596500e+03 1.461746e-12
5.626500e+03 1.457525e-12
5.656500e+03 1.457405e-12
5.686500e+03 1.454299e-12
5.716500e+03 1.445678e-12
5.746500e+03 1.440300e-12
5.776500e+03 1.446094e-12
5.806500e+03 1.438485e-12
5.836500e+03 1.438347e-12
5.866500e+03 1.425897e-12
5.896500e+03 1.436870e-12
5.926500e+03 1.421142e-12
5.956500e+03 1.420595e-12
