# Mstar-1sigma qgt20
# ell  D_ell = ell(ell+1)C_ell/2pi
1.650000e+01 5.181437e-15
4.650000e+01 2.289562e-14
7.650000e+01 4.600544e-14
1.065000e+02 7.374807e-14
1.365000e+02 1.060508e-13
1.665000e+02 1.324676e-13
1.965000e+02 1.673427e-13
2.265000e+02 1.965988e-13
2.565000e+02 2.303369e-13
2.865000e+02 2.602218e-13
3.165000e+02 2.999574e-13
3.465000e+02 3.297709e-13
3.765000e+02 3.649079e-13
4.065000e+02 3.918059e-13
4.365000e+02 4.320664e-13
4.665000e+02 4.542284e-13
4.965000e+02 4.921314e-13
5.265000e+02 5.272876e-13
5.565000e+02 5.545463e-13
5.865000e+02 5.775654e-13
6.165000e+02 6.057991e-13
6.465000e+02 6.395847e-13
6.765000e+02 6.560996e-13
7.065000e+02 6.904895e-13
7.365000e+02 7.261909e-13
7.665000e+02 7.442294e-13
7.965000e+02 7.717856e-13
8.265000e+02 7.844625e-13
8.565000e+02 8.182630e-13
8.865000e+02 8.466390e-13
9.165000e+02 8.675541e-13
9.465000e+02 8.935275e-13
9.765000e+02 9.218820e-13
1.006500e+03 9.327762e-13
1.036500e+03 9.613497e-13
1.066500e+03 9.829298e-13
1.096500e+03 1.001112e-12
1.126500e+03 1.008854e-12
1.156500e+03 1.039233e-12
1.186500e+03 1.053739e-12
1.216500e+03 1.086022e-12
1.246500e+03 1.101893e-12
1.276500e+03 1.114477e-12
1.306500e+03 1.133671e-12
1.336500e+03 1.144962e-12
1.366500e+03 1.174100e-12
1.396500e+03 1.170287e-12
1.426500e+03 1.195400e-12
1.456500e+03 1.211873e-12
1.486500e+03 1.221335e-12
1.516500e+03 1.235164e-12
1.546500e+03 1.250018e-12
1.576500e+03 1.265109e-12
1.606500e+03 1.280864e-12
1.636500e+03 1.282287e-12
1.666500e+03 1.305539e-12
1.696500e+03 1.323090e-12
1.726500e+03 1.333073e-12
1.756500e+03 1.339724e-12
1.786500e+03 1.348070e-12
1.816500e+03 1.351810e-12
1.846500e+03 1.359868e-12
1.876500e+03 1.368759e-12
1.906500e+03 1.382939e-12
1.936500e+03 1.408588e-12
1.966500e+03 1.408242e-12
