# fgas+2sigma fullsky
# ell  D_ell = ell(ell+1)C_ell/2pi
1.650000e+01 1.667734e-14
4.650000e+01 7.413063e-14
7.650000e+01 1.255253e-13
1.065000e+02 1.801084e-13
1.365000e+02 2.296831e-13
1.665000e+02 2.689436e-13
1.965000e+02 3.161885e-13
2.265000e+02 3.472291e-13
2.565000e+02 3.676302e-13
2.865000e+02 3.996950e-13
3.165000e+02 4.333564e-13
3.465000e+02 4.532385e-13
3.765000e+02 4.824483e-13
4.065000e+02 5.013947e-13
4.365000e+02 5.404545e-13
4.665000e+02 5.541074e-13
4.965000e+02 5.816567e-13
5.265000e+02 6.125466e-13
5.565000e+02 6.310779e-13
5.865000e+02 6.558980e-13
6.165000e+02 6.752266e-13
6.465000e+02 7.091306e-13
6.765000e+02 7.187772e-13
7.065000e+02 7.525182e-13
7.365000e+02 7.839710e-13
7.665000e+02 8.021598e-13
7.965000e+02 8.271308e-13
8.265000e+02 8.364630e-13
8.565000e+02 8.687673e-13
8.865000e+02 8.895124e-13
9.165000e+02 9.095373e-13
9.465000e+02 9.357258e-13
9.765000e+02 9.628806e-13
1.006500e+03 9.716895e-13
1.036500e+03 9.963760e-13
1.066500e+03 1.015875e-12
1.096500e+03 1.032617e-12
1.126500e+03 1.041181e-12
1.156500e+03 1.072612e-12
1.186500e+03 1.083966e-12
1.216500e+03 1.114125e-12
1.246500e+03 1.133562e-12
1.276500e+03 1.145874e-12
1.306500e+03 1.161480e-12
1.336500e+03 1.171919e-12
1.366500e+03 1.202731e-12
1.396500e+03 1.199280e-12
1.426500e+03 1.220614e-12
1.456500e+03 1.235072e-12
1.486500e+03 1.243406e-12
1.516500e+03 1.254995e-12
1.546500e+03 1.274190e-12
1.576500e+03 1.289031e-12
1.606500e+03 1.302012e-12
1.636500e+03 1.306690e-12
1.666500e+03 1.328913e-12
1.696500e+03 1.348471e-12
1.726500e+03 1.355192e-12
1.756500e+03 1.362944e-12
1.786500e+03 1.374509e-12
1.816500e+03 1.374361e-12
1.846500e+03 1.383475e-12
1.876500e+03 1.393479e-12
1.906500e+03 1.406553e-12
1.936500e+03 1.431835e-12
1.966500e+03 1.430820e-12
1.996500e+03 1.446952e-12
2.026500e+03 1.444881e-12
2.056500e+03 1.453551e-12
2.086500e+03 1.461781e-12
2.116500e+03 1.477112e-12
2.146500e+03 1.478407e-12
2.176500e+03 1.486041e-12
2.206500e+03 1.504399e-12
2.236500e+03 1.508868e-12
2.266500e+03 1.520072e-12
2.296500e+03 1.526935e-12
2.326500e+03 1.523330e-12
2.356500e+03 1.533973e-12
2.386500e+03 1.537627e-12
2.416500e+03 1.546872e-12
2.446500e+03 1.545838e-12
2.476500e+03 1.546287e-12
2.506500e+03 1.573170e-12
2.536500e+03 1.582009e-12
2.566500e+03 1.580038e-12
2.596500e+03 1.570236e-12
2.626500e+03 1.590509e-12
2.656500e+03 1.588928e-12
2.686500e+03 1.593463e-12
