# fgas+2sigma qgt50
# ell  D_ell = ell(ell+1)C_ell/2pi
1.650000e+01 7.038480e-15
4.650000e+01 3.129143e-14
7.650000e+01 6.076271e-14
1.065000e+02 9.904695e-14
1.365000e+02 1.345663e-13
1.665000e+02 1.715747e-13
1.965000e+02 2.086129e-13
2.265000e+02 2.421233e-13
2.565000e+02 2.799029e-13
2.865000e+02 3.123149e-13
3.165000e+02 3.548501e-13
3.465000e+02 3.869018e-13
3.765000e+02 4.214729e-13
4.065000e+02 4.472328e-13
4.365000e+02 4.904253e-13
4.665000e+02 5.090654e-13
4.965000e+02 5.454868e-13
5.265000e+02 5.815736e-13
5.565000e+02 6.041718e-13
5.865000e+02 6.318175e-13
6.165000e+02 6.551351e-13
6.465000e+02 6.898409e-13
6.765000e+02 7.014308e-13
7.065000e+02 7.352309e-13
7.365000e+02 7.687095e-13
7.665000e+02 7.899475e-13
7.965000e+02 8.172182e-13
8.265000e+02 8.263521e-13
8.565000e+02 8.585134e-13
8.865000e+02 8.819554e-13
9.165000e+02 9.000492e-13
9.465000e+02 9.254129e-13
9.765000e+02 9.549459e-13
1.006500e+03 9.637735e-13
1.036500e+03 9.895346e-13
1.066500e+03 1.009649e-12
1.096500e+03 1.025851e-12
1.126500e+03 1.034903e-12
1.156500e+03 1.067132e-12
1.186500e+03 1.078543e-12
1.216500e+03 1.107986e-12
1.246500e+03 1.128636e-12
1.276500e+03 1.140300e-12
1.306500e+03 1.156525e-12
1.336500e+03 1.166535e-12
1.366500e+03 1.197864e-12
1.396500e+03 1.194587e-12
1.426500e+03 1.215788e-12
1.456500e+03 1.229505e-12
1.486500e+03 1.239598e-12
1.516500e+03 1.251203e-12
1.546500e+03 1.270830e-12
1.576500e+03 1.285312e-12
1.606500e+03 1.298704e-12
1.636500e+03 1.304107e-12
1.666500e+03 1.325202e-12
1.696500e+03 1.344971e-12
1.726500e+03 1.353014e-12
1.756500e+03 1.359859e-12
1.786500e+03 1.371219e-12
1.816500e+03 1.372144e-12
1.846500e+03 1.380268e-12
1.876500e+03 1.389864e-12
1.906500e+03 1.403335e-12
1.936500e+03 1.428143e-12
1.966500e+03 1.428029e-12
1.996500e+03 1.443874e-12
2.026500e+03 1.443106e-12
2.056500e+03 1.450544e-12
2.086500e+03 1.459189e-12
2.116500e+03 1.474914e-12
2.146500e+03 1.476077e-12
2.176500e+03 1.483673e-12
2.206500e+03 1.501797e-12
2.236500e+03 1.506463e-12
2.266500e+03 1.516630e-12
2.296500e+03 1.524047e-12
2.326500e+03 1.520637e-12
2.356500e+03 1.531283e-12
2.386500e+03 1.535611e-12
2.416500e+03 1.544593e-12
2.446500e+03 1.544095e-12
2.476500e+03 1.543175e-12
2.506500e+03 1.571686e-12
2.536500e+03 1.579858e-12
2.566500e+03 1.578123e-12
2.596500e+03 1.567638e-12
2.626500e+03 1.588714e-12
2.656500e+03 1.586725e-12
2.686500e+03 1.590737e-12
2.716500e+03 1.600844e-12
2.746500e+03 1.605038e-12
2.776500e+03 1.607608e-12
2.806500e+03 1.615832e-12
2.836500e+03 1.618783e-12
2.866500e+03 1.621249e-12
2.896500e+03 1.622734e-12
2.926500e+03 1.631032e-12
2.956500e+03 1.623382e-12
2.986500e+03 1.636150e-12
3.016500e+03 1.642319e-12
3.046500e+03 1.631069e-12
3.076500e+03 1.645323e-12
3.106500e+03 1.642012e-12
3.136500e+03 1.641758e-12
3.166500e+03 1.649583e-12
3.196500e+03 1.651590e-12
3.226500e+03 1.643426e-12
3.256500e+03 1.653308e-12
3.286500e+03 1.679164e-12
3.316500e+03 1.675091e-12
3.346500e+03 1.670192e-12
3.376500e+03 1.671607e-12
3.406500e+03 1.673838e-12
3.436500e+03 1.681928e-12
3.466500e+03 1.669133e-12
3.496500e+03 1.672365e-12
3.526500e+03 1.669054e-12
3.556500e+03 1.671512e-12
3.586500e+03 1.673787e-12
3.616500e+03 1.672001e-12
3.646500e+03 1.682969e-12
3.676500e+03 1.675833e-12
3.706500e+03 1.675658e-12
3.736500e+03 1.684589e-12
3.766500e+03 1.680232e-12
3.796500e+03 1.679195e-12
3.826500e+03 1.683683e-12
3.856500e+03 1.684664e-12
3.886500e+03 1.677779e-12
3.916500e+03 1.682211e-12
3.946500e+03 1.676325e-12
3.976500e+03 1.681653e-12
4.006500e+03 1.675178e-12
4.036500e+03 1.682912e-12
4.066500e+03 1.679484e-12
4.096500e+03 1.683421e-12
4.126500e+03 1.672769e-12
4.156500e+03 1.683037e-12
4.186500e+03 1.683747e-12
4.216500e+03 1.669580e-12
4.246500e+03 1.684946e-12
4.276500e+03 1.683046e-12
4.306500e+03 1.677438e-12
4.336500e+03 1.680333e-12
4.366500e+03 1.672004e-12
4.396500e+03 1.674905e-12
4.426500e+03 1.665278e-12
4.456500e+03 1.669247e-12
4.486500e+03 1.667678e-12
4.516500e+03 1.663278e-12
4.546500e+03 1.658817e-12
4.576500e+03 1.663127e-12
4.606500e+03 1.668701e-12
4.636500e+03 1.659476e-12
4.666500e+03 1.659438e-12
4.696500e+03 1.654680e-12
4.726500e+03 1.661447e-12
4.756500e+03 1.651065e-12
4.786500e+03 1.650446e-12
4.816500e+03 1.660550e-12
4.846500e+03 1.657204e-12
4.876500e+03 1.658243e-12
4.906500e+03 1.643997e-12
4.936500e+03 1.649419e-12
4.966500e+03 1.644810e-12
4.996500e+03 1.645731e-12
5.026500e+03 1.637788e-12
5.056500e+03 1.644686e-12
5.086500e+03 1.631681e-12
5.116500e+03 1.627481e-12
5.146500e+03 1.632508e-12
5.176500e+03 1.627868e-12
5.206500e+03 1.624823e-12
5.236500e+03 1.629460e-12
5.266500e+03 1.620114e-12
5.296500e+03 1.620033e-12
5.326500e+03 1.620210e-12
5.356500e+03 1.615372e-12
5.386500e+03 1.612752e-12
5.416500e+03 1.614750e-12
5.446500e+03 1.612840e-12
5.476500e+03 1.606223e-12
5.506500e+03 1.607031e-12
5.536500e+03 1.590965e-12
5.566500e+03 1.599117e-12
5.596500e+03 1.596639e-12
5.626500e+03 1.590989e-12
5.656500e+03 1.593328e-12
5.686500e+03 1.591309e-12
5.716500e+03 1.583835e-12
5.746500e+03 1.577793e-12
5.776500e+03 1.586143e-12
5.806500e+03 1.579051e-12
5.836500e+03 1.579438e-12
5.866500e+03 1.567982e-12
5.896500e+03 1.579621e-12
5.926500e+03 1.566234e-12
5.956500e+03 1.566452e-12
