# fgas-4sigma fullsky
# ell  D_ell = ell(ell+1)C_ell/2pi
1.650000e+01 1.769869e-14
4.650000e+01 7.777616e-14
7.650000e+01 1.288313e-13
1.065000e+02 1.809975e-13
1.365000e+02 2.267990e-13
1.665000e+02 2.594182e-13
1.965000e+02 3.003048e-13
2.265000e+02 3.243855e-13
2.565000e+02 3.439974e-13
2.865000e+02 3.710730e-13
3.165000e+02 4.001880e-13
3.465000e+02 4.172944e-13
3.765000e+02 4.454800e-13
4.065000e+02 4.629467e-13
4.365000e+02 4.981554e-13
4.665000e+02 5.102112e-13
4.965000e+02 5.376445e-13
5.265000e+02 5.659134e-13
5.565000e+02 5.820176e-13
5.865000e+02 6.059427e-13
6.165000e+02 6.234934e-13
6.465000e+02 6.532152e-13
6.765000e+02 6.628678e-13
7.065000e+02 6.934338e-13
7.365000e+02 7.209874e-13
7.665000e+02 7.372627e-13
7.965000e+02 7.598232e-13
8.265000e+02 7.680911e-13
8.565000e+02 7.967191e-13
8.865000e+02 8.157311e-13
9.165000e+02 8.298814e-13
9.465000e+02 8.537492e-13
9.765000e+02 8.768729e-13
1.006500e+03 8.842999e-13
1.036500e+03 9.037101e-13
1.066500e+03 9.221441e-13
1.096500e+03 9.357193e-13
1.126500e+03 9.410402e-13
1.156500e+03 9.686809e-13
1.186500e+03 9.784956e-13
1.216500e+03 1.004310e-12
1.246500e+03 1.019224e-12
1.276500e+03 1.027190e-12
1.306500e+03 1.039455e-12
1.336500e+03 1.048688e-12
1.366500e+03 1.073145e-12
1.396500e+03 1.068581e-12
1.426500e+03 1.086703e-12
1.456500e+03 1.098954e-12
1.486500e+03 1.104578e-12
1.516500e+03 1.113514e-12
1.546500e+03 1.128231e-12
1.576500e+03 1.139455e-12
1.606500e+03 1.147534e-12
1.636500e+03 1.150690e-12
1.666500e+03 1.167343e-12
1.696500e+03 1.184197e-12
1.726500e+03 1.187913e-12
1.756500e+03 1.192254e-12
1.786500e+03 1.200510e-12
1.816500e+03 1.199208e-12
1.846500e+03 1.204836e-12
1.876500e+03 1.207363e-12
1.906500e+03 1.220888e-12
1.936500e+03 1.239146e-12
1.966500e+03 1.236284e-12
1.996500e+03 1.246844e-12
2.026500e+03 1.242315e-12
2.056500e+03 1.248330e-12
2.086500e+03 1.254598e-12
2.116500e+03 1.265500e-12
2.146500e+03 1.262752e-12
2.176500e+03 1.269011e-12
2.206500e+03 1.283825e-12
2.236500e+03 1.283626e-12
2.266500e+03 1.290859e-12
2.296500e+03 1.294933e-12
2.326500e+03 1.290083e-12
2.356500e+03 1.298349e-12
2.386500e+03 1.297235e-12
2.416500e+03 1.303104e-12
2.446500e+03 1.301062e-12
2.476500e+03 1.299353e-12
2.506500e+03 1.318537e-12
2.536500e+03 1.323760e-12
2.566500e+03 1.319873e-12
2.596500e+03 1.309381e-12
2.626500e+03 1.321701e-12
2.656500e+03 1.321806e-12
2.686500e+03 1.322094e-12
2.716500e+03 1.327013e-12
2.746500e+03 1.329384e-12
2.776500e+03 1.330016e-12
2.806500e+03 1.333239e-12
2.836500e+03 1.332487e-12
2.866500e+03 1.333814e-12
2.896500e+03 1.331045e-12
2.926500e+03 1.335493e-12
2.956500e+03 1.328262e-12
2.986500e+03 1.333451e-12
3.016500e+03 1.336889e-12
3.046500e+03 1.327723e-12
3.076500e+03 1.335976e-12
3.106500e+03 1.331729e-12
3.136500e+03 1.328003e-12
3.166500e+03 1.332552e-12
3.196500e+03 1.332493e-12
3.226500e+03 1.322940e-12
3.256500e+03 1.329672e-12
3.286500e+03 1.346276e-12
3.316500e+03 1.341755e-12
3.346500e+03 1.336642e-12
3.376500e+03 1.334810e-12
3.406500e+03 1.333815e-12
3.436500e+03 1.337038e-12
3.466500e+03 1.325284e-12
3.496500e+03 1.325045e-12
3.526500e+03 1.318816e-12
3.556500e+03 1.319770e-12
3.586500e+03 1.319068e-12
3.616500e+03 1.316668e-12
3.646500e+03 1.323063e-12
3.676500e+03 1.313507e-12
3.706500e+03 1.311928e-12
3.736500e+03 1.316353e-12
3.766500e+03 1.310668e-12
3.796500e+03 1.306956e-12
3.826500e+03 1.309791e-12
3.856500e+03 1.307082e-12
3.886500e+03 1.299528e-12
3.916500e+03 1.302417e-12
3.946500e+03 1.296105e-12
3.976500e+03 1.297046e-12
4.006500e+03 1.290634e-12
4.036500e+03 1.295570e-12
4.066500e+03 1.290002e-12
4.096500e+03 1.291872e-12
4.126500e+03 1.279907e-12
4.156500e+03 1.285532e-12
4.186500e+03 1.284031e-12
4.216500e+03 1.269274e-12
4.246500e+03 1.278047e-12
4.276500e+03 1.277904e-12
4.306500e+03 1.269323e-12
4.336500e+03 1.270850e-12
4.366500e+03 1.263698e-12
4.396500e+03 1.263339e-12
4.426500e+03 1.253695e-12
4.456500e+03 1.254840e-12
4.486500e+03 1.249042e-12
4.516500e+03 1.246115e-12
4.546500e+03 1.240981e-12
4.576500e+03 1.240841e-12
4.606500e+03 1.243160e-12
4.636500e+03 1.234422e-12
4.666500e+03 1.232474e-12
4.696500e+03 1.226984e-12
4.726500e+03 1.229894e-12
4.756500e+03 1.221023e-12
4.786500e+03 1.216652e-12
4.816500e+03 1.223080e-12
4.846500e+03 1.217994e-12
4.876500e+03 1.217537e-12
4.906500e+03 1.204889e-12
4.936500e+03 1.206802e-12
4.966500e+03 1.201960e-12
4.996500e+03 1.201006e-12
5.026500e+03 1.193554e-12
5.056500e+03 1.196702e-12
5.086500e+03 1.183757e-12
5.116500e+03 1.180305e-12
5.146500e+03 1.180791e-12
5.176500e+03 1.176903e-12
5.206500e+03 1.171835e-12
5.236500e+03 1.173292e-12
5.266500e+03 1.165199e-12
5.296500e+03 1.164161e-12
5.326500e+03 1.161575e-12
5.356500e+03 1.156240e-12
5.386500e+03 1.151597e-12
5.416500e+03 1.150881e-12
5.446500e+03 1.150169e-12
5.476500e+03 1.143528e-12
5.506500e+03 1.140239e-12
5.536500e+03 1.125687e-12
5.566500e+03 1.131967e-12
5.596500e+03 1.128890e-12
5.626500e+03 1.124572e-12
5.656500e+03 1.121684e-12
5.686500e+03 1.118037e-12
5.716500e+03 1.111430e-12
5.746500e+03 1.107211e-12
5.776500e+03 1.108732e-12
5.806500e+03 1.103369e-12
5.836500e+03 1.101567e-12
5.866500e+03 1.091924e-12
5.896500e+03 1.098707e-12
5.926500e+03 1.086296e-12
5.956500e+03 1.084557e-12
