# fgas-4sigma qgt10
# ell  D_ell = ell(ell+1)C_ell/2pi
1.650000e+01 3.988737e-15
4.650000e+01 1.827882e-14
7.650000e+01 3.714541e-14
1.065000e+02 5.737222e-14
1.365000e+02 8.051339e-14
1.665000e+02 1.045527e-13
1.965000e+02 1.271663e-13
2.265000e+02 1.538530e-13
2.565000e+02 1.809179e-13
2.865000e+02 2.014375e-13
3.165000e+02 2.359345e-13
3.465000e+02 2.586010e-13
3.765000e+02 2.892437e-13
4.065000e+02 3.104430e-13
4.365000e+02 3.449896e-13
4.665000e+02 3.619696e-13
4.965000e+02 3.909495e-13
5.265000e+02 4.223012e-13
5.565000e+02 4.467299e-13
5.865000e+02 4.665428e-13
6.165000e+02 4.924941e-13
6.465000e+02 5.174209e-13
6.765000e+02 5.354569e-13
7.065000e+02 5.607319e-13
7.365000e+02 5.916082e-13
7.665000e+02 6.082261e-13
7.965000e+02 6.333072e-13
8.265000e+02 6.443860e-13
8.565000e+02 6.736132e-13
8.865000e+02 6.943447e-13
9.165000e+02 7.151029e-13
9.465000e+02 7.352104e-13
9.765000e+02 7.615077e-13
1.006500e+03 7.693663e-13
1.036500e+03 7.995000e-13
1.066500e+03 8.170826e-13
1.096500e+03 8.342268e-13
1.126500e+03 8.447219e-13
1.156500e+03 8.665747e-13
1.186500e+03 8.825706e-13
1.216500e+03 9.076170e-13
1.246500e+03 9.198371e-13
1.276500e+03 9.319081e-13
1.306500e+03 9.471721e-13
1.336500e+03 9.606887e-13
1.366500e+03 9.858417e-13
1.396500e+03 9.847200e-13
1.426500e+03 1.004330e-12
1.456500e+03 1.017770e-12
1.486500e+03 1.029218e-12
1.516500e+03 1.040155e-12
1.546500e+03 1.050393e-12
1.576500e+03 1.063772e-12
1.606500e+03 1.077776e-12
1.636500e+03 1.074072e-12
1.666500e+03 1.101245e-12
1.696500e+03 1.110554e-12
1.726500e+03 1.121142e-12
1.756500e+03 1.126877e-12
1.786500e+03 1.134508e-12
1.816500e+03 1.136838e-12
1.846500e+03 1.143468e-12
1.876500e+03 1.149791e-12
1.906500e+03 1.162519e-12
1.936500e+03 1.185208e-12
1.966500e+03 1.176372e-12
1.996500e+03 1.190657e-12
2.026500e+03 1.190217e-12
2.056500e+03 1.196408e-12
2.086500e+03 1.201336e-12
2.116500e+03 1.219621e-12
2.146500e+03 1.213433e-12
2.176500e+03 1.221336e-12
2.206500e+03 1.236508e-12
2.236500e+03 1.239443e-12
2.266500e+03 1.243410e-12
2.296500e+03 1.249388e-12
2.326500e+03 1.244626e-12
2.356500e+03 1.255220e-12
2.386500e+03 1.257361e-12
2.416500e+03 1.260340e-12
2.446500e+03 1.265827e-12
2.476500e+03 1.260592e-12
2.506500e+03 1.280154e-12
2.536500e+03 1.286193e-12
2.566500e+03 1.285131e-12
2.596500e+03 1.276285e-12
2.626500e+03 1.291937e-12
2.656500e+03 1.288386e-12
2.686500e+03 1.289091e-12
2.716500e+03 1.293348e-12
2.746500e+03 1.296510e-12
2.776500e+03 1.299991e-12
2.806500e+03 1.301138e-12
2.836500e+03 1.307157e-12
2.866500e+03 1.303847e-12
2.896500e+03 1.304946e-12
2.926500e+03 1.309852e-12
2.956500e+03 1.298117e-12
2.986500e+03 1.306849e-12
3.016500e+03 1.309219e-12
3.046500e+03 1.302835e-12
3.076500e+03 1.309996e-12
3.106500e+03 1.307494e-12
3.136500e+03 1.305517e-12
3.166500e+03 1.308275e-12
3.196500e+03 1.309422e-12
3.226500e+03 1.300222e-12
3.256500e+03 1.308046e-12
3.286500e+03 1.323521e-12
3.316500e+03 1.322304e-12
3.346500e+03 1.315366e-12
3.376500e+03 1.313038e-12
3.406500e+03 1.313810e-12
3.436500e+03 1.317597e-12
3.466500e+03 1.309309e-12
3.496500e+03 1.307184e-12
3.526500e+03 1.301286e-12
3.556500e+03 1.304107e-12
3.586500e+03 1.303970e-12
3.616500e+03 1.300852e-12
3.646500e+03 1.303158e-12
3.676500e+03 1.300603e-12
3.706500e+03 1.298443e-12
3.736500e+03 1.299355e-12
3.766500e+03 1.297646e-12
3.796500e+03 1.294479e-12
3.826500e+03 1.293980e-12
3.856500e+03 1.291999e-12
3.886500e+03 1.285841e-12
3.916500e+03 1.289175e-12
3.946500e+03 1.282456e-12
3.976500e+03 1.284671e-12
4.006500e+03 1.277756e-12
4.036500e+03 1.281182e-12
